Id,NameEN,NameAR,DescriptionEN,DescriptionAR,Logo,IsDeleted,CreatedBy,UpdatedBy,DeletedBy,CreatedAt,UpdatedAt,DeletedAt,InactiveReason,IsActive,IsMinistry
EE3C9FB2-C33A-4686-BAAF-01BF5DF34F4D,Private Health Insurance companies,شركات التأمين الخاصة,NULL,NULL,NULL,0,04B309E8-6BBD-40F3-869E-7AFA240D40D2,NULL,NULL,2025-05-06 12:12:10.2266667,NULL,NULL,NULL,1,0
EC483555-EFEB-450D-8C23-04BF7C157F1A,Qatar Aviation Services,قطر لخدمات الطيران,NULL,NULL,NULL,0,04B309E8-6BBD-40F3-869E-7AFA240D40D2,NULL,NULL,2025-05-06 12:12:10.2266667,NULL,NULL,NULL,1,0
4BFC6F1B-AB76-40E6-A69A-069782D31A96,Amiri Diwan,الديوان الأميري,NULL,NULL,NULL,0,04B309E8-6BBD-40F3-869E-7AFA240D40D2,NULL,NULL,2025-05-06 12:12:10.2266667,NULL,NULL,NULL,1,0
DA934B92-B276-4056-9D7F-07CE3289F0EF,Qatar Foundation (QF),مؤسسة قطر,NULL,NULL,NULL,0,04B309E8-6BBD-40F3-869E-7AFA240D40D2,NULL,NULL,2022-11-19 12:32:39.3416400,2023-01-07 10:42:52.6740000,NULL,NULL,1,0
9828E8C3-A266-490D-A380-08DD8FCD6ACC,Prime Ministers Office-1,مكتب معالي رئيس مجلس الوزراء-1,PHA+UHJpbWUgTWluaXN0ZXJzIE9mZmljZTwvcD4=,PHA+2YXZg9iq2Kgg2YXYudin2YTZiiDYsdim2YrYsyDZhdis2YTYsyDYp9mE2YjYstix2KfYoTwvcD4=,NULL,1,590098FF-715B-4670-D349-08DD8EEF9E56,590098FF-715B-4670-D349-08DD8EEF9E56,NULL,2025-05-10 17:17:38.0165439,2025-05-11 15:43:10.7237952,NULL,DUPLICATE,0,0
9D4B5CB8-51B8-4DD7-A381-08DD8FCD6ACC,Archived - test,Ministry of Commerce and Industry (MOCI,PHA+TWluaXN0cnkgb2YgQ29tbWVyY2UgYW5kIEluZHVzdHJ5IChNT0NJPC9wPg==,PHA+TWluaXN0cnkgb2YgQ29tbWVyY2UgYW5kIEluZHVzdHJ5IChNT0NJPC9wPg==,NULL,1,8130A178-AA94-4D13-D377-08DD8EEF9E56,8130A178-AA94-4D13-D377-08DD8EEF9E56,NULL,2025-05-10 17:33:41.3803043,2025-05-10 17:38:43.2162405,NULL,,1,0
1021CE1E-6B22-4921-F772-08DD904A20A6,Entities Responsible for Priority Sectors,الجهات الرئيسية المسؤولة عن القطاعات ذات الأولوية,PHA+RW50aXRpZXMgUmVzcG9uc2libGUgZm9yIFByaW9yaXR5IFNlY3RvcnM8L3A+,PHA+2KfZhNis2YfYp9iqINin2YTYsdim2YrYs9mK2Kkg2KfZhNmF2LPYpNmI2YTYqSDYudmGINin2YTZgti32KfYudin2Kog2LDYp9iqINin2YTYo9mI2YTZiNmK2Kk8L3A+,NULL,0,590098FF-715B-4670-D349-08DD8EEF9E56,590098FF-715B-4670-D349-08DD8EEF9E56,NULL,2025-05-11 08:10:20.7286493,2025-05-11 08:10:47.3228131,NULL,,1,0
84A39FB1-2CAB-49A4-2F0C-08DD90879D05,The Prime Minister Office,مكتب معالي رئيس مجلس الوزراء,PHA+VGhlIFByaW1lIE1pbmlzdGVyIE9mZmljZTwvcD4=,PHA+2YXZg9iq2Kgg2YXYudin2YTZiiDYsdim2YrYsyDZhdis2YTYsyDYp9mE2YjYstix2KfYoTwvcD4=,NULL,0,590098FF-715B-4670-D349-08DD8EEF9E56,590098FF-715B-4670-D349-08DD8EEF9E56,NULL,2025-05-11 15:30:28.6100681,2025-05-11 16:52:16.5440809,NULL,,1,0
7523C3CA-6C85-45BE-A15F-08DDE629E816,Real Estate Regulatory Authority-Aqarat,الهيئة العامة لتنظيم القطاع العقاري,PHA+UmVhbCBFc3RhdGUgUmVndWxhdG9yeSBBdXRob3JpdHktQXFhcmF0PC9wPg==,PHA+2KfZhNmH2YrYptipINin2YTYudin2YXYqSDZhNiq2YbYuNmK2YUg2KfZhNmC2LfYp9i5INin2YTYudmC2KfYsdmKPC9wPg==,NULL,0,0E02A83F-0753-4833-D390-08DD8EEF9E56,NULL,NULL,2025-08-28 14:56:21.8330742,NULL,NULL,NULL,1,1
BE87FDAB-DF66-4925-B1AD-08DDE960D4EA,Cytomate-Test,s,PHA+PHNwYW4gc3R5bGU9ImZvbnQtc2l6ZTogMTRweDsgY29sb3I6IHJnYig3MSwgNzEsIDcxKTsiPiZuYnNwOzwvc3Bhbj48c3Ryb25nIHN0eWxlPSJmb250LXNpemU6IDE0cHg7IGNvbG9yOiBpbmhlcml0OyI+2YXYsdit2KjYpyA8L3N0cm9uZz48L3A+,PHA+PHNwYW4gc3R5bGU9ImZvbnQtc2l6ZTogMTRweDsgY29sb3I6IHJnYig3MSwgNzEsIDcxKTsiPiZuYnNwOzwvc3Bhbj48c3Ryb25nIHN0eWxlPSJmb250LXNpemU6IDE0cHg7IGNvbG9yOiBpbmhlcml0OyI+2YXYsdit2KjYpyA9PC9zdHJvbmc+PC9wPg==,NULL,1,7E26F4B5-5F8B-415E-4767-08DDE53CDD44,7E26F4B5-5F8B-415E-4767-08DDE53CDD44,NULL,2025-09-01 17:07:05.4847032,2025-09-01 17:08:42.7792473,NULL,Testing,0,0
BD9E1E8F-D699-4EAC-B505-08DE00D8DB62,Al Noor Center - Qatar Social Works,"مركز النور للمكفوفين ",PHA+QWwgTm9vciBDZW50ZXIgLSBRYXRhciBTb2NpYWwgV29ya3M8L3A+,PHA+2YXYsdmD2LIg2KfZhNmG2YjYsSDZhNmE2YXZg9mB2YjZgdmK2YYgPC9wPg==,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 13:54:12.6889621,NULL,NULL,NULL,1,0
F2E2A208-491E-40A6-B506-08DE00D8DB62,Aljazeera Channel,"شبكة الجزيرة الإعلامية ",PHA+QWxqYXplZXJhIENoYW5uZWw8L3A+,PHA+2LTYqNmD2Kkg2KfZhNis2LLZitix2Kkg2KfZhNil2LnZhNin2YXZitipIDwvcD4=,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 13:55:26.8996412,NULL,NULL,NULL,1,0
E1ADDF32-D4FA-4088-B507-08DE00D8DB62,Al-Kass Sports Channels,"قنوات الكأس الرياضية ",PHA+QWwtS2FzcyBTIHBvcnRzIENoYW5uZWxzPC9wPg==,PHA+2YLZhtmI2KfYqiDYp9mE2YPYo9izINin2YTYsdmK2KfYttmK2KkgPC9wPg==,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 13:55:54.4221246,NULL,NULL,NULL,1,0
3F112D3B-79AB-4805-B508-08DE00D8DB62,AL-Shafallah,مركز الشفلح,PHA+QUwtU2hhZmFsbGFoPC9wPg==,PHA+2YXYsdmD2LIg2KfZhNi02YHZhNitPC9wPg==,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 13:57:06.0446123,NULL,NULL,NULL,1,0
738280B6-2142-4654-B509-08DE00D8DB62,Amiri Flight,الطيران الاميري,PHA+QW1pcmkgRmxpZ2h0PC9wPg==,PHA+2KfZhNi32YrYsdin2YYg2KfZhNin2YXZitix2Yo8L3A+,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 13:58:10.2094113,NULL,NULL,NULL,1,0
4591EF7E-4189-4E1D-B50A-08DE00D8DB62,Amiri Yacht,اليخت الاميري,PHA+QW1pcmkgWWFjaHQ8L3A+,PHA+2KfZhNmK2K7YqiDYp9mE2KfZhdmK2LHZijwvcD4=,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 14:02:53.9948834,NULL,NULL,NULL,1,0
4B87A180-7223-43A7-B50B-08DE00D8DB62,Army Communication Forces,"سلاح الإشارة ",PHA+QXJteSBDb21tdW5pY2F0aW9uIEZvcmNlczwvcD4=,PHA+2LPZhNin2K0g2KfZhNil2LTYp9ix2KkgPC9wPg==,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 14:03:12.6517745,NULL,NULL,NULL,1,0
CBCD0494-4CCA-4F7A-B50C-08DE00D8DB62,ASPIRE Academy,"أكاديمية اسباير ",PHA+QVNQSVJFIEFjYWRlbXk8L3A+,PHA+2KPZg9in2K/ZitmF2YrYqSDYp9iz2KjYp9mK2LEgPC9wPg==,NULL,0,B478157E-9C25-4AD6-D347-08DD8EEF9E56,NULL,NULL,2025-10-01 14:04:42.1583699,NULL,NULL,NULL,1,0
