"DataPointId","IndicatorDetailId","Period","Country","Actual","Target"
"6de241e6-299a-4518-afd8-00076474ef43","3f865224-01ab-42ba-b96d-519287957ab5","2020-03","Singapore","-0.03375",""
"74287e73-302d-4e9c-b8ef-000de5a5e4b8","50b11b8c-0a78-49cb-9ebb-9f04c5430ac8","2024-12","Kuwait","2.5019",""
"c38ec85f-2f93-4a13-993c-001122975825","50b11b8c-0a78-49cb-9ebb-9f04c5430ac8","2021-Q3","Oman","2.0646",""
"7b41aa3c-32fe-4879-920d-0011cdd4b154","adb4e2e9-6166-4a75-876e-c43d3501eff5","2022","National / Overall","16.01",""
"77dd0794-fb2c-4a09-a12e-00184233e593","bd6b73dd-5224-4567-a8ac-cdcc2195ed24","2022-07","National / Overall","30","35"
"ec12c695-a7af-4c93-a6fc-00206dae5958","edef27f0-5a9d-4165-9401-55a4457af1d0","2021-Q2","National / Overall","","38"
"dcf4a497-d8d2-4814-ac51-0027b46ac555","bb3514e6-9e2b-47e4-b1e7-c07a4733de34","2022","Bahrain","5.80944",""
"b567d5c2-b074-44dc-911e-003938c687c5","332ec482-464c-4ee6-9786-2973e258c35e","2018-Q4","KSA","23",""
"a468139a-bf78-4762-85f3-004391febf47","900c3cc3-e562-4c1c-bff4-8d8b2f77c735","2021","National / Overall","1.9",""
"282a378d-baf9-4bae-9304-004717783255","c6e30d1f-837d-4265-983f-28a2ebe08dd7","2022","National / Overall","0.7",""
"1d1f4562-7628-4689-ae0a-00503e509084","fc981486-a18b-4beb-aa19-e9847d2ff089","2023-Q3","National / Overall","","47"
"1e7ae111-aaf4-458e-b715-0053133748fa","a5ad31a5-1942-4895-a42d-dccdb7bf4eb5","2024","KSA","255.03",""
"a5a37f78-4486-4ca3-be28-005aad61941b","50b11b8c-0a78-49cb-9ebb-9f04c5430ac8","2021-05","Bahrain","-0.30928",""
"c7aa24e6-650d-464d-bce4-005b3c1503c5","21275e14-0111-4ac8-942c-9eac4ad7d172","2013-Q4","National / Overall","0.173",""
"c119e65e-6ea6-48cc-bff4-005f4cda448a","3cb5b501-2859-4919-9976-936ab53f17a1","2023-11","National / Overall","70",""
"297c84d5-f19e-44e0-a6d5-00649e972ff4","3cb5b501-2859-4919-9976-936ab53f17a1","2022-10","National / Overall","57",""
"22f496e5-5159-4b31-932d-00690417b044","bd35537d-5d13-4971-9f85-4d5abd5753de","2019","National / Overall","9",""
"b320e0f8-68da-473f-b117-006c1ad3598f","21275e14-0111-4ac8-942c-9eac4ad7d172","2020","National / Overall","1.7771",""
"1701e215-fcfc-4cc3-8e45-007a83cc2230","06e53175-33a1-443e-ae2b-dd743bbedfaf","2024-07","National / Overall","2.8535","3.55"
"20c0d8fa-af18-4370-827b-0087cb1bf85d","810389da-b9d4-4074-bba7-a3595de90dd8","2023","National / Overall","30",""
"4499bb78-b697-4733-991c-0093f7dc9a9c","9001adfb-dd8a-4f31-8d88-4d10204af3b4","2021-10","National / Overall","2.659329",""
"2b61e360-4484-4088-b08b-009c7c204e71","332ec482-464c-4ee6-9786-2973e258c35e","2022-Q3","Jordan","64",""
"515d4c1d-5f7c-4fd8-8007-009d408931d9","3b1c4ff4-eee7-48d8-b4cb-3f10e062a802","2022-04","National / Overall","2278","1500"
"4a2945d3-383e-4240-9492-00a34535b7aa","2a3c6334-4107-4bec-8dab-229cb0be7772","2025-04","National / Overall","0.767",""
"70b6ef0e-b6d8-46de-8fe0-00c035426d74","e6c72078-9646-4c2d-ad22-23b7190548ea","2019-Q2","National / Overall","84.05",""
"9fe153c6-5fc3-4be2-a77c-00cd0bf8b987","11981882-d32b-45ba-aad4-e8f4729c154a","2021","Algeria","14",""
"2064775d-b6fe-4d00-9fef-00e26ce70a51","6b2cdfd5-94cb-4bd8-899d-8f058ff0099b","2024-Q2","National / Overall","57.3",""
"2894f629-615b-4beb-959a-00e5f4762fda","020d8c70-3540-4898-9a96-bdd3501cbab1","2025-Q3","National / Overall","14.68",""
"16cf7489-a470-4409-ab6a-00e692b54538","26f56b44-539e-49e6-9bbe-be98bd26ea05","2025","National / Overall","1.4",""
"982124fa-e934-4e00-8e5e-01158c94c131","06e53175-33a1-443e-ae2b-dd743bbedfaf","2019-12","National / Overall","2.13542",""
"9cbec8ec-d658-470a-a3c8-011f66ef0bd5","33b4123a-26b9-4dba-80dd-963fa00299cd","2017","National / Overall","22.05",""
"024bc345-ca09-4de8-9e54-0121e8280141","fdb4f859-5648-4ac1-95cd-91a254a598ad","2023","National / Overall","255.792",""
"4f39bfa6-da56-41b9-8c2e-01244fdeb3c2","3f865224-01ab-42ba-b96d-519287957ab5","2021-04","Bahrain","-0.20747",""
"0c92572c-b491-486f-b9d9-012644335962","332ec482-464c-4ee6-9786-2973e258c35e","2024-Q1","Germany","16",""
"81a05a29-090f-4d12-ba48-0126484cd9c9","bb3514e6-9e2b-47e4-b1e7-c07a4733de34","2017","Egypt","3.13404",""
"551870c9-a9a0-4580-8aea-0127804bee75","c1e4eba9-3ced-44c3-bf23-da5c7af617d8","2025-02","National / Overall","2.948",""
"048de11c-96bf-4ba2-b616-01284eabc624","4ee487dd-fe4a-4253-acfb-066a24080259","2022-Q2","National / Overall","105",""
"dd22d38c-c8be-4634-8954-012cdbf6dce7","50b11b8c-0a78-49cb-9ebb-9f04c5430ac8","2021-01","Kuwait","2.94883",""
"8a38112c-5c17-46ee-9acc-012d84166694","1b83941b-03bb-4d4f-8ccb-238c37092a1f","2025-02","National / Overall","61.447",""
"ba43d932-d91b-486b-b5c8-01314d6bffa8","8590951e-88a8-49c5-8587-c9bfbfbbf0cc","2024-Q3","National / Overall","125.713",""
"523ff56d-302f-47d1-9950-013211c28ecd","332ec482-464c-4ee6-9786-2973e258c35e","2016","Netherlands","11",""
"ffedd17a-357e-4945-ad08-0135cdda2cc4","e055cdc0-1261-484a-a160-d566d5ffafd4","2021-Q1","National / Overall","","8.3"
"6d1d5038-f909-4ce5-983a-013b0cee7e40","3f865224-01ab-42ba-b96d-519287957ab5","2022-09","UAE","5.07781",""
"8363e24e-a356-42e6-bfad-013dc48abb37","8d26ad07-1b5d-4249-be19-76bdbe846e1a","2023-Q1","National / Overall","","25"
"608164b5-50a5-49d7-a881-0140ecd502e1","50b11b8c-0a78-49cb-9ebb-9f04c5430ac8","2021-02","Kuwait","3.03293",""
