"Id","NameEN","NameAR","IndicatorTypeId","IsActive","IsDeleted"
"0cf09863-b99c-4ad4-994a-005dc11c70bd","Number of Professional Services enterprises","Number of Professional Services enterprises","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"7ba52165-7b1f-427a-adf7-00e5fb82f329","Private Investment as a Share of Total Investment","استثمارات القطاع الخاص من اجمالي حجم الاستثمارات","e93a7eb3-66db-4869-9543-dad2ffa98e81","True","False"
"946ab363-fff2-4714-8f79-013a51ec2434","Licensed Companies-1","الشركات المرخصة-2","a556e8f5-d8ed-42ed-8d48-73a69430781e","True","False"
"d977f8ca-6a87-4543-80dc-020560128967","Classified Hotels (%)","الفنادق المصنفة (٪)","d4021384-4690-4a13-9ee6-fa63aef5d4f1","True","False"
"53c45d4d-1ded-462d-9618-02249e98e0ff","The Rate of Volunteer Work","معدل العمل التطوعي","d4021384-4690-4a13-9ee6-fa63aef5d4f1","True","False"
"a9b5c1e4-fc4e-4c74-8b24-022b575dffc1","Financial Performance Indicator","مؤشر الأداء المالي","a556e8f5-d8ed-42ed-8d48-73a69430781e","True","False"
"806041c3-c11d-4d1c-a3de-0242985ad0b1","- Of which are local-1","الاستثمارات الرأسمالية  CAPEX المحلية (مليون ر.ق.)-1","039b6f8d-fe85-4260-9dbe-8fb27db40c57","True","False"
"c263ba5d-8f26-4191-9fe6-027774ec161e","Datasets-4","Datasets-5","a556e8f5-d8ed-42ed-8d48-73a69430781e","True","False"
"30709b4a-e668-497b-be3e-02a33d10b966","Total Production of Concentrated Fodder (ton/year)","Dataset-1","d4021384-4690-4a13-9ee6-fa63aef5d4f1","True","False"
"5dd26c63-bd60-4054-8beb-03227d6a3480","International Programme for Student Assessment (PISA) Test Average Score","متوسط درجات اختبار البرنامج الدولي لتقييم الطلبة","d4021384-4690-4a13-9ee6-fa63aef5d4f1","True","False"
"92dcf9b6-d377-480e-8b26-034e86748654","NTM frequency ratio (%)","نسبة التدابير غير الجمركية","43193c15-058d-4124-a152-aec091e2f2b4","True","False"
"cc260ea8-2eda-423f-a693-03dc98f19cc0","Expected GDP Impact in 2021-3","تأثير الناتج المحلي الإجمالي المتوقع في عام 2021-7","d4021384-4690-4a13-9ee6-fa63aef5d4f1","True","False"
"ed8aa4f7-1c67-48a3-ad72-03f14812e548","Total Companies-2","عدد الشركات الإجمالية-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","True","False"
"8f9d7ee2-f8c8-4076-a786-040832b8381c","Number of Staff-1","عدد الموظفين-2","039b6f8d-fe85-4260-9dbe-8fb27db40c57","True","False"
"b16a328a-35ee-4087-95c6-06003c11c3dc","Expected GDP Impact in 2022-3","تأثير الناتج المحلي الإجمالي المتوقع في عام 2022-4","d4021384-4690-4a13-9ee6-fa63aef5d4f1","True","False"
"1154744e-10bc-484d-a957-0706e6c8bcd9","Number of Investment Projects-1","Number of Investment Projects-1","a556e8f5-d8ed-42ed-8d48-73a69430781e","True","False"
"9a5a8219-3aaa-48e7-ad6f-08564864d00c","Qatar's Export Share by Commodity","حصة قطر من الصادرات حسب السلعة","5c103a27-3fbf-4115-a3a8-98ad20d19599","True","False"
"2fc116fe-0271-4f4a-ba9c-08bf9daf88f1","Expected GDP Impact in 2021-1","تأثير الناتج المحلي الإجمالي المتوقع في عام 2021-9","d4021384-4690-4a13-9ee6-fa63aef5d4f1","True","False"
"7ff267fe-e6cc-481e-187f-08dd8c9ac2e7","Real GDP","الناتج المحلي الإجمالي الحقيقي","31c7e4b7-7d30-4576-b683-d5fc7aa05a6b","True","False"
"3af4c0fb-e8ad-4641-1880-08dd8c9ac2e7","Non-Hydrocarbon Real GDP","الناتج المحلي الإجمالي غير الهيدروكربوني","e93a7eb3-66db-4869-9543-dad2ffa98e81","True","False"
"bc016385-cd1e-4ed9-1882-08dd8c9ac2e7","","","","True","False"
"41a2ec6f-77e9-4800-1883-08dd8c9ac2e7","Number of Room Nights Sold","عدد الليالي الفندقية المباعة","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"b1d55322-0c41-4c59-1884-08dd8c9ac2e7","Sector Contribution To GDP (Agriculture & Livestock)","مساهمة القطاع في الناتج المحلي الإجمالي (الزراعة والإنتاج الحيواني والسمكي)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"c0ea29f9-c2b5-48c7-1885-08dd8c9ac2e7","Crop Yield  - Vegetables, Greenhouses","إنتاجية المحاصيل - الخضراوات  ، البيوت المحمية","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"d7768ce6-7e13-4213-1886-08dd8c9ac2e7","Total Production","إجمالي الإنتاج","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"056ff921-1d64-44bd-1887-08dd8c9ac2e7","","","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"e7f7820a-fa7c-47ba-91b0-08dd8c9b1913","Government Revenues","الإيرادات الحكومية في ميزانية الدولة","31c7e4b7-7d30-4576-b683-d5fc7aa05a6b","True","False"
"b596bac5-0dc8-4dec-91b1-08dd8c9b1913","Trade Balance (Goods & Services)","الميزان التجاري (السلع والخدمات)","31c7e4b7-7d30-4576-b683-d5fc7aa05a6b","True","False"
"bf24acec-dc99-4bfe-91b2-08dd8c9b1913","Gross National Income","الدخل القومي الإجمالي","31c7e4b7-7d30-4576-b683-d5fc7aa05a6b","True","False"
"8be3e6c5-7a69-45f4-91b3-08dd8c9b1913","Total Exports (Goods and Services)","إجمالي الصادرات (السلع والخدمات)","31c7e4b7-7d30-4576-b683-d5fc7aa05a6b","True","False"
"d05eeb9f-1b44-4422-91b5-08dd8c9b1913","Number of International Visitors","عدد السياح من خارج الدولة","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"f22dbb3c-c542-47d3-91b6-08dd8c9b1913","Global Food Security Index (GFSI) Rank","ترتيب دولة قطر في مؤشر الأمن الغذائي العالمي","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"e237a0ed-1289-4b67-b654-08dd8ca641ed","","","e93a7eb3-66db-4869-9543-dad2ffa98e81","True","False"
"60be3657-a99d-4dc0-b655-08dd8ca641ed","Out-of-Pocket Expenditure as a Percentage of Current Health Expenditure","نسبة الإنفاق من الجيب الخاص من الإنفاق على قطاع الصحة الحالي","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"9bfcfd0f-206c-4a81-b656-08dd8ca641ed","Pharmaceuticals, Medical Devices and Consumables Produced in Qatar","الأدوية والأجهزة الطبية والمواد الاستهلاكية المنتجة في قطر","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"eb467551-f5d7-4a34-b657-08dd8ca641ed","Sector Contribution To GDP (Education)","مساهمة القطاع في الناتج المحلي الإجمالي (التعليم)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"0deac0f6-d36f-46b9-b658-08dd8ca641ed","Sector Exports (ICT)","صادرات القطاع (المعلومات والاتصالات)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"6a83aeab-2024-4293-b659-08dd8ca641ed","Percentage of Online, End-to-End Public Services","نسبة الخدمات العامة عبر الإنترنت من البداية للنهاية","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"88d0873d-62f2-4329-b65a-08dd8ca641ed","Sector Contribution To GDP (Financial & Insurance)","مساهمة القطاع في الناتج المحلي الإجمالي (الأنشطة المالية وأنشطة التأمين)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"245dffef-7f82-45ac-b65b-08dd8ca641ed","Sector Contribution To GDP (Manufacturing)","مساهمة القطاع في الناتج المحلي الإجمالي (الصناعات التحويلية)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"1133a92c-b7aa-4d1c-b65c-08dd8ca641ed","Logistics Performance Index (LPI) Rank","ترتيب دولة قطر في مؤشر الأداء اللوجستي","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"9c08e6c8-ebc7-4304-b65d-08dd8ca641ed","Air Transport Freight","حجم النقل الجوي ، الشحن","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"d803eada-56b2-48a4-b65e-08dd8ca641ed","Liner Shipping Connectivity Index Rank","ترتيب دولة قطر في مؤشر وصولية خطوط النقل البحري المنتظم","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"02f24f7f-aef9-4146-b65f-08dd8ca641ed","IATA Connectivity Index Rank","ترتيب دولة قطر في مؤشر اتحاد النقل الجوي الدولي (IATA)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"7e1bc17b-15b9-43b3-b660-08dd8ca641ed","Number of Qatari Jobs","عدد وظائف القطريين","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"64eec0a9-2740-4bb2-b661-08dd8ca641ed","Number of Non-Qatari Jobs","عدد وظائف غير القطريين","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"2c5f499f-a5f1-471a-b662-08dd8ca641ed","Sector Exports - Passenger","صادرات القطاع - الركاب","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"86453f7b-aa2a-4832-b663-08dd8ca641ed","Workforce (Economically Active)","القوى العاملة (النشطون اقتصاديًا)","e93a7eb3-66db-4869-9543-dad2ffa98e81","True","False"
"036e30bb-9612-46dc-b664-08dd8ca641ed","","","","True","False"
"0386c351-2912-4773-b665-08dd8ca641ed","","","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"f87388f1-b2c3-48e3-b667-08dd8ca641ed","Number of Jobs in the Sector (Financial & Insurance Sector)","عدد الوظائف في القطاع (الأنشطة المالية وأنشطة التأمين)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"33d81050-2bcc-42e1-b668-08dd8ca641ed","","","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
"83e07ffb-64ee-4d90-b669-08dd8ca641ed","","","","True","False"
"c2dd124d-65a4-4a7e-b66a-08dd8ca641ed","Sector Contribution to GDP (Tourism)","مساهمة القطاع في الناتج المحلي الإجمالي (السياحة)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","True","False"
