"IndicatorDetailId","IndicatorId","NameEN","NameAR","DefinitionEN","DefinitionAR","LabelEN","LabelAR","Format","BaseLineValue","BaseLineYear","TargetValue","TargetYear"
"34cf11a5-baad-4e14-9805-00adbad78740","525b6fef-67f7-44da-bce2-cdbbc5e20be8","Tourism Contribution Towards GDP Direct ","نسبة مساهمة القطاع في الناتج المحلي الإجمالي (مباشر)","Old Indicator ","Old Indicator ","Tourism Contribution Towards GDP Direct ","نسبة مساهمة القطاع في الناتج المحلي الإجمالي (مباشر)","0","","2023","",""
"ddcabcaf-22b2-4980-8308-018c2bcf2f0d","c59809ec-7685-460d-aa1e-875b2f1a713e","Leased Area (square meters)-2","المساحة المؤجرة (متر مربع)-1","-","-","Leased Area (square meters)-2","المساحة المؤجرة (متر مربع)-1","0","","","",""
"51fef484-130a-46ec-afef-0192b3985282","7e628478-db9d-4288-85a0-a321e6f268a0","Inflation Demo","Inflation Demo","-","-","Inflation Demo","Inflation Demo","0","","","",""
"2dfc9491-dc1d-466b-847c-01bdbaf600ab","5df7fa1f-fafe-40e3-9b61-8251c56f8ed0","Satisfaction Score (NPS) of Domestic Tourism","درجة الرضا عن السياحة الداخلية","-","-","Satisfaction Score (NPS) of Domestic Tourism","درجة الرضا عن السياحة الداخلية","0","","2023","",""
"bbeba8dc-ba03-4452-9082-01e8fb10ce2a","53c45d4d-1ded-462d-9618-02249e98e0ff","The Rate of Volunteer Work","معدل العمل التطوعي","-","-","The Rate of Volunteer Work","معدل العمل التطوعي","0","","","",""
"1e363cc4-b8f3-4816-a8b5-01ecd33dac69","ff490039-7788-4735-a608-49cff625e2b9","Datsets-1","Datsets-2","-","-","Datsets-1","Datsets-2","0","","","",""
"93db8d28-13c9-406f-9fb3-02ba8dfedb7a","f834d328-e379-4221-a9ec-2620875ac997","China","الصين","<p>China</p>","<p>الصين</p>","China","الصين","0.00","","","",""
"70c628f9-0107-4dc1-9d82-0326a7c47d34","9439d25c-e03c-4587-882f-b2d4255602c6","Value of Investment Projects-2","Value of Investment Projects-2","-","-","Value of Investment Projects-2","Value of Investment Projects-2","0","","","",""
"aa18fa30-3755-4086-a0ea-04265d2633c9","763a8c21-54b8-4fae-fc29-08dd8f984037","Number of Hotel Keys","عدد الغرف الفندقية المتاحة ومعدل نسب الإشغال للفنادق","<p>-</p>","<p>-</p>","Number of Hotel Keys","عدد الغرف الفندقية المتاحة","0.0","29.77","2022","",""
"3d85d6ee-df7c-4102-a875-04cfb3eb72ad","e7d27610-ec54-4087-fd41-08dd8ca66f9c","Sector Contribution To GDP","مساهمة القطاع في الناتج المحلي الإجمالي (المعلومات والاتصالات)","<p>The Information Sector Contribution to GDP measures the share of the economy's total output attributed to the information sector, which includes industries such as telecommunications, media, technology, software, and data services. This sector is critical in modern economies, reflecting the increasing importance of digital services and information technology in driving economic growth and development.</p>","<p>يقيس مؤشر مساهمة القطاع في الناتج المحلي الإجمالي حصة قطاع المعلومات والاتصالات من الناتج المحلي الإجمالي لاقتصاد الدولة                             ، ويشمل قطاعات الاتصالات                             ، والإعلام                             ، والتكنولوجيا                             ، والبرمجيات                             ، وخدمات البيانات. يُعتبر هذا القطاع أحد القطاعات الحيوية في الاقتصادات الحديثة                             ، حيث يعكس الأهمية المتزايدة للخدمات الرقمية وتكنولوجيا المعلومات في تحفيز النمو الاقتصادي والتنمية.</p>","Sector Contribution To GDP (ICT)","مساهمة القطاع في الناتج المحلي الإجمالي (المعلومات والاتصالات)","bn0.00","10.97","2021","21.56","2030"
"8ea60e3e-468b-4dc8-8e89-053abe87a4fa","eda3b0a6-5414-4a9d-90f7-3c799942f198","Total Production of Vegetables Using Greenhouse (ton/year)","Dataset-4","-","-","Total Production of Vegetables Using Greenhouse (ton/year)","Dataset-4","0","0","2022","",""
"4c6883e2-ebbf-4ca8-9ed5-06265c43a210","b38962c9-acda-4bd3-9bb9-b51e3365d6d0","Private Sector Investment into the Sector","استثمار القطاع الخاص في القطاع","-","-","Private Sector Investment into the Sector","استثمار القطاع الخاص في القطاع","0","","2023","","2030"
"36dc53d5-6a00-4509-8958-0645333d8e88","9f1b0ba8-2225-4f3e-973f-a5cf045627a9","Container","سفن الحاويات","<p>Container</p>","<p>الحاوية</p>","Container","سفن الحاويات","","","","",""
"52826868-083e-49b6-9bf9-0662a9102281","e58c0681-b58f-45e3-aa46-3924780f4fe6","Employment in the Sector","Employment in the Sector","-","-","Employment in the Sector","Employment in the Sector","0","","","",""
"4ee487dd-fe4a-4253-acfb-066a24080259","50b5457c-6eae-4ae0-ac88-1d682f0abe93","Non-Hydrocarbon Sectors Contribution to GDP (QAR, bn)","Non-Hydrocarbon Sectors Contribution to GDP (QAR, bn)","-","-","Non-Hydrocarbon Sectors Contribution to GDP (QAR, bn)","Non-Hydrocarbon Sectors Contribution to GDP (QAR, bn)","0","","2023","",""
"f0a0258f-0ec7-49e0-b3c0-07707ae6d52d","bbdbb946-9d8a-40a4-9e44-c877c039277e","- Of which are local-5","عدد الشركات (المحلية)-2","-","-","- Of which are local-5","عدد الشركات (المحلية)-2","0","","","",""
"ac02d9fa-ebc8-4462-a45c-07e8a37b05fb","e7b61ac2-ebf2-4ac2-ace9-832381a4faba","Number of Investor Leads-2","Number of Investor Leads-2","-","-","Number of Investor Leads-2","Number of Investor Leads-2","0","","","",""
