"PublishedIndicatorDetailId","PublishedIndicatorId","SourceIndicatorDetailId","IsMain","NameEN","NameAR","DefinationEN","DefinationAR","LabelEN","LabelAR","Format","BaseLineValue","BaseLineYear","TargetValue","TargetYear","DwhIndicatorName","ApplyUsdToQarConversion","ShowOutlook","FileName","UnitId","UnitEN","UnitAR","UnitCode","PolarityId","PolarityEN","PolarityAR","PolarityCode","ValueTypeId","ValueTypeEN","ValueTypeAR","ValueTypeCode","DataSourceId","DataSourceEN","DataSourceAR","DataSourceCode","AggregationTypeId","AggregationTypeEN","AggregationTypeAR","AggregationTypeCode","InputMethodId","InputMethodEN","InputMethodAR","InputMethodCode","CreatedAt","UpdatedAt"
"c608b8d0-5707-4fd7-858a-08ddb7179f3f","f0a2e654-d78c-4d14-3e15-08ddb7179f33","bbfb2960-e6e5-434b-8bde-1eb38b111d26","True","Percentage of Transit on Stop-overs","نسبة السياح (الإقامة القصيرة) من إجمالي ركاب الترانزيت","-","-","Percentage of Transit on Stop-overs","نسبة السياح (الإقامة القصيرة) من إجمالي ركاب الترانزيت","0","","","","","","False","False","","3d027509-2bb6-4915-b218-63311478fc3a","NA","غير متاح","NA","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","6923fe2e-03f2-459b-817c-a1b94d592f95","Qatar Tourism","قطر للسياحة","qt","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 6:53:10 PM",""
"c9ccb67b-d58d-42c9-8591-08ddb7179f3f","64368107-c86b-4488-3e1c-08ddb7179f33","746735ad-b2a6-4d82-bdcd-86006e885dcf","True","Export Cost ","تكلفة التصدير","-","-","Export Cost ","تكلفة التصدير","0","1935","2019","1122","2030","","False","False","","06b275ce-19b8-4d37-96bd-c0d58533add9","QAR","ر.ق","qar","6b8715ba-be56-493a-8b21-28c104b71b6d","Decrease","انخفاض","decrease","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","7e05a934-023e-4dce-9e97-f38b98f2b55d","World Bank","البنك الدولي","worldbank","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 6:58:46 PM",""
"84bec68c-5603-4855-8592-08ddb7179f3f","a7eeeaa7-3a05-465c-3e1d-08ddb7179f33","9759d2e3-0352-4f93-b8f3-13f5ef15f710","True","Import Cost","تكلفة الاستيراد","-","-","Import Cost","تكلفة الاستيراد","0","3086","2019","2160","2030","","False","False","","06b275ce-19b8-4d37-96bd-c0d58533add9","QAR","ر.ق","qar","6b8715ba-be56-493a-8b21-28c104b71b6d","Decrease","انخفاض","decrease","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","7e05a934-023e-4dce-9e97-f38b98f2b55d","World Bank","البنك الدولي","worldbank","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 6:59:43 PM",""
"4f76b2f0-9217-405a-8593-08ddb7179f3f","2137c6dc-b410-4258-3e1e-08ddb7179f33","d12acce8-af93-4e03-9a2c-447f46f81aa7","True","Airport Utilization ","نسبة استغلال المطار ","-","-","Airport Utilization ","نسبة استغلال المطار ","0","50","2023","70","2030","","False","False","","a4ede074-5957-46ab-a6e6-341e291f2080","%","%","%","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","d03fdfc3-7d22-47bb-9ca5-0c95f5191aab","Qatar Airways","الخطوط الجوية القطرية","qa","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 7:02:37 PM",""
"0e42c4a3-38a6-48c8-8599-08ddb7179f3f","dc37d928-40d5-4998-3e24-08ddb7179f33","4a0f0eae-85ee-4499-9c39-6e58caea2c73","True","Share of High-Skilled Jobs","نسبة الوظائف عالية المهارة","ACTIVE","ACTIVE","Share of High-Skilled Jobs","نسبة الوظائف عالية المهارة","0","62.9","2019","","","","False","False","","a4ede074-5957-46ab-a6e6-341e291f2080","%","%","%","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","f953092c-d58a-444a-9a42-a3c697c2d6ea","Ministry Of Commerce And Industry","وزارة التجارة والصناعة","moci","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 7:10:42 PM",""
"c47fdfe6-1fc3-4ffb-859a-08ddb7179f3f","60073a09-fb63-4825-3e25-08ddb7179f33","656e3e46-e328-4517-bbcb-eaaf0259f8fc","True","Foreign Investments into the Sector","الاستثمار الأجنبي في القطاع","ACTIVE","ACTIVE","Foreign Investments into the Sector","الاستثمار الأجنبي في القطاع","0","0.92","2021","","","","False","False","","3d027509-2bb6-4915-b218-63311478fc3a","NA","غير متاح","NA","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","f953092c-d58a-444a-9a42-a3c697c2d6ea","Ministry Of Commerce And Industry","وزارة التجارة والصناعة","moci","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 7:11:43 PM",""
"7649a43f-4b61-4611-85a0-08ddb7179f3f","f597b0c1-9e2c-4899-3e2b-08ddb7179f33","25060f0b-f524-4506-9278-eeb8c8890db8","True","Assets deployed in Qatar by Fund of Funds ","حجم صندوق الصناديق الاستثمارية العاملة في دولة قطر ","-","-","Assets deployed in Qatar by Fund of Funds ","حجم صندوق الصناديق الاستثمارية العاملة في دولة قطر ","0","","2023","350","2030","","False","False","","d48e8472-a5fa-49aa-ac35-9168641e1076","m USD","مليون دولار أمريكي","musd","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","147da856-dcc2-4e84-b8ae-dfaf95efb2aa","Qatar Central Bank","مصرف قطر المركزي","qcb","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 7:20:02 PM",""
"802c0a86-9d8c-4f1d-85b9-08ddb7179f3f","57e6f80d-27a2-43de-3e41-08ddb7179f33","a5aecd70-67ec-44b8-94f4-c87f7d7d8e06","True","Share of Qataris in High-Skilled White Collar"," نسبة القطريين في وظائف المهارات العالية من ذوي الياقات البيضاء","-","-","Share of Qataris in High-Skilled White Collar"," نسبة القطريين في وظائف المهارات العالية من ذوي الياقات البيضاء","0","","2021","","2030","","False","False","","3d027509-2bb6-4915-b218-63311478fc3a","NA","غير متاح","NA","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","603b0af1-70bf-4257-8f57-4861e33ae17c","National Planning Council","المجلس الوطني للتخطيط","npc","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 8:27:01 PM",""
"83c50cdc-91e4-4008-85c5-08ddb7179f3f","e2546a69-1ba8-4b1e-3e4d-08ddb7179f33","256d27b9-00d4-4b31-a430-1d893690a3d9","True","A road map linking the free zones and all ports","خارطة طرق تربط بين المناطق الحرة وجميع المنافذ","A map of the roads linking the ports and free zones with details of distances and times that the carrier can use as inferences to shorten the distance and time in the shipping process.","خارطة للطرق الرابطة بين المنافذ والمناطق الحرة بتفاصيل المسافات والأوقات يستطيع الناقل الاستدلال بها لاختصار المسافة والوقت في عملية الشحن ","A road map linking the free zones and all ports","خارطة طرق تربط بين المناطق الحرة وجميع المنافذ","0","0","2024","1","2030","","False","False","","6666d77f-957a-4a59-92d4-ba482e3b9ecc","Count","العدد","count","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","ed3892f4-3f5f-4085-b005-51e74b745219","Unknown","غير معروف","","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 11:09:23 PM",""
"d02252cd-e7b5-491e-85c6-08ddb7179f3f","7ebf49ff-62db-4a91-3e4e-08ddb7179f33","6776e4b6-1659-4bc1-a15b-cd4190d442ac","True","حجم القدرة الاستيعابية للمستودعات الجمركية في المطارات","حجم القدرة الاستيعابية للمستودعات الجمركية في المطارات","-","-","حجم القدرة الاستيعابية للمستودعات الجمركية في المطارات","حجم القدرة الاستيعابية للمستودعات الجمركية في المطارات","0","80","2024","120","2030","","False","False","","a4ede074-5957-46ab-a6e6-341e291f2080","%","%","%","01ceed6f-d4e2-492d-926b-176b9c7cb3b6","Increase","زيادة","increase","1d67db34-e759-4b18-ad15-0820d1e99791","Numeric","رقمية","numeric","cf69862d-4d57-4fa6-8dbb-7e492aca23ed","مطار حمد الدولي","مطار حمد الدولي","","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none","4bf72625-9589-4588-913c-f36d5c7b2423","Manual","يدوياً","manual","6/29/2025 11:09:59 PM",""
