"PublishedDataPointId","PublishedIndicatorDetailId","PublishedIndicatorId","IntervalId","IntervalEN","IntervalAR","IntervalCode","Period","CountryId","CountryEN","CountryAR","CountryCode","Actual","Target","Outlook","MonthlyMoMPercent","MonthlyMoMpp","MonthlyYoYPercent","MonthlyYoYpp","QuarterlyQoQPercent","QuarterlyQoQpp","QuarterlyYoYPercent","QuarterlyYoYpp","YearlyYoYPercent","YearlyYoYpp","CreatedAt","UpdatedAt"
"50768d42-aadb-417f-6e6f-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2025-Q3","","","","","7.2","","","","","","","","-1.3","","-0.2","","","5/5/2026 10:28:47 AM",""
"9845e978-d32c-45b5-6e70-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2023-Q4","","","","","7.4","","","","","","","","0.3","","1.4","","","5/5/2026 10:28:47 AM",""
"c282d7b1-b2bd-4b03-6e71-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2022-Q4","","","","","6","","","","","","","","1.1","","1.1","","","5/5/2026 10:28:47 AM",""
"8bb0ca28-3773-481c-6e72-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2025-Q2","","","","","8.5","","","","","","","","0.8","","0.1","","","5/5/2026 10:28:47 AM",""
"09ec13bf-c56f-431e-6e73-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","2025","","","","","8.025","","","","","","","","","","","","-0.075","5/5/2026 10:28:47 AM",""
"43a18f72-627d-4612-6e74-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2024-Q4","","","","","8.8","7.6","","","","","","","1.4","","1.4","","","5/5/2026 10:28:47 AM",""
"715fec21-bd1a-4d6f-6e75-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2030-Q4","","","","","","12","","","","","","","","","","","","5/5/2026 10:28:47 AM",""
"5e0ecd43-f335-478d-6e76-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2023-Q3","","","","","7.1","","","","","","","","1.1","","","","","5/5/2026 10:28:47 AM",""
"537d215a-d5a9-44cc-6e77-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","2024","","","","","8.1","8.5","","","","","","","","","","","","5/5/2026 10:28:47 AM",""
"cc05b2f9-0164-4eb6-6e78-08dea8e8edb7","cf835ee5-5215-4fdf-6f92-08dea8e8edb6","5391471d-5db8-4e20-8a53-08dea8e8edb0","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","2025-Q1","","","","","7.7","6.9","","","","","","","-1.1","","-0.1","","","5/5/2026 10:28:47 AM",""
