"PublishedAdditionalChartId","PublishedIndicatorId","PublishedIndicatorDetailId","ChartTypeId","ChartTypeEN","ChartTypeAR","ChartTypeCode","IntervalId","IntervalEN","IntervalAR","IntervalCode","BenchMarkingCountries_Raw","CreatedAt","UpdatedAt"
"f2f5d02b-883a-49be-05bd-08dddd573e62","92aa796c-b5e1-4f57-a7e2-08dddd5433d4","122d47f7-8c5c-48a5-fd90-08dddd5433de","679d1dd4-e796-47c8-af5f-1dd9869d53f4","Geo Map","خريطة جغرافية","geomap","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","1d5e7f16-ff27-44e4-8544-2d1911c6114f|8860ec77-e8c8-4070-aa15-db1c2dfc8df4|b0f821ca-86ee-4f32-bb83-ce50d4a5858e|e460a16d-676f-41ed-811f-3f23ab1450b2|a2d21933-e1fa-4290-b53a-508900974a2b|8d7d98ff-ccec-43d6-8155-44f9c0b72e26|02579099-437d-4d38-bc5a-dc81882547e1|e4509188-11df-41b5-b86d-1dde070df893|bc1bee71-6752-495b-84bc-400595c26261|8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|a17a864e-6bcd-4466-972a-ac7a9a909d14","8/20/2025 7:57:28 AM",""
"2895ef64-bcff-45c8-ec4c-08dddd671676","7ca07ae2-eec1-4ed0-c7ed-08dddd57848d","c92b1e43-b445-4e27-eb65-08dddd57848f","679d1dd4-e796-47c8-af5f-1dd9869d53f4","Geo Map","خريطة جغرافية","geomap","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","1d5e7f16-ff27-44e4-8544-2d1911c6114f|8860ec77-e8c8-4070-aa15-db1c2dfc8df4|b0f821ca-86ee-4f32-bb83-ce50d4a5858e|e460a16d-676f-41ed-811f-3f23ab1450b2|a2d21933-e1fa-4290-b53a-508900974a2b|8d7d98ff-ccec-43d6-8155-44f9c0b72e26|02579099-437d-4d38-bc5a-dc81882547e1|e4509188-11df-41b5-b86d-1dde070df893|bc1bee71-6752-495b-84bc-400595c26261|8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|a17a864e-6bcd-4466-972a-ac7a9a909d14","8/17/2025 11:21:38 AM",""
"59df4439-dd4d-45a3-d9fa-08de049df013","f93b4e4c-3855-4ecf-c881-08de049c57c4","0449d68c-23ad-45bf-7ac6-08de049c57c6","9c7487a3-8189-48fa-a863-f5eb27df8564","Bar Chart","مخطط شريطي","barchart","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","e4509188-11df-41b5-b86d-1dde070df893|bc1bee71-6752-495b-84bc-400595c26261|8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|e39895ae-fc18-4b47-abd1-4575d7918fc4|f7f05821-86a1-4114-bdee-8b0894fff2f5|a17a864e-6bcd-4466-972a-ac7a9a909d14","10/6/2025 9:02:31 AM",""
"53a20a79-4150-4614-d9fc-08de049df013","f45c2040-d061-4e4c-c883-08de049c57c4","179f7c36-5c7e-46a2-7ac8-08de049c57c6","9c7487a3-8189-48fa-a863-f5eb27df8564","Bar Chart","مخطط شريطي","barchart","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|bc1bee71-6752-495b-84bc-400595c26261|a2d21933-e1fa-4290-b53a-508900974a2b|834a770b-6372-40e2-bbcc-0a321e06bb13|735ccf37-9b0d-483c-a8bd-05b1e6a064b1|3eb36153-9f64-4030-b794-a66cb9a1858e|d4206b50-9f7e-4c76-8de1-34384b391803|02579099-437d-4d38-bc5a-dc81882547e1|a17a864e-6bcd-4466-972a-ac7a9a909d14","10/6/2025 9:20:55 AM",""
"d92a42f0-0dfd-4080-a475-08de064081a8","fcdc61e3-9c77-48bf-28ad-08de064080f7","b60f7e11-c096-4fab-64ce-08de064080f9","9c7487a3-8189-48fa-a863-f5eb27df8564","Bar Chart","مخطط شريطي","barchart","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|bc1bee71-6752-495b-84bc-400595c26261|e39895ae-fc18-4b47-abd1-4575d7918fc4|834a770b-6372-40e2-bbcc-0a321e06bb13|735ccf37-9b0d-483c-a8bd-05b1e6a064b1|3eb36153-9f64-4030-b794-a66cb9a1858e|d4206b50-9f7e-4c76-8de1-34384b391803|8d7d98ff-ccec-43d6-8155-44f9c0b72e26|a17a864e-6bcd-4466-972a-ac7a9a909d14","10/8/2025 10:58:45 AM",""
"9386e6fc-2fe6-4880-c751-08de3adef664","87c2a5a9-f54f-49ff-7b82-08de3ade5903","ba5871a1-f81c-43c3-c7bd-08de3ade590a","be2aa87c-e0de-41bd-b82f-5459a5bbf299","Donut","مخطط الدونات","donut","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","a17a864e-6bcd-4466-972a-ac7a9a909d14|bc1bee71-6752-495b-84bc-400595c26261|1d5e7f16-ff27-44e4-8544-2d1911c6114f|8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|8860ec77-e8c8-4070-aa15-db1c2dfc8df4|e4509188-11df-41b5-b86d-1dde070df893|8d7d98ff-ccec-43d6-8155-44f9c0b72e26|02579099-437d-4d38-bc5a-dc81882547e1|e460a16d-676f-41ed-811f-3f23ab1450b2|b0f821ca-86ee-4f32-bb83-ce50d4a5858e|a2d21933-e1fa-4290-b53a-508900974a2b","12/14/2025 10:04:02 AM",""
"76f2be8f-e8ad-463a-bd6f-08de6e055c93","c7e2aafd-6340-45d5-31d3-08de6c80b448","ae6d8353-8468-4cec-1691-08de6c80b44a","714b19fa-3d2f-4eea-87b0-473cd1e19679","Line Chart With Bar","مخطط خطي مع شريط","linechartwithbar","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|bc1bee71-6752-495b-84bc-400595c26261|e39895ae-fc18-4b47-abd1-4575d7918fc4|a2d21933-e1fa-4290-b53a-508900974a2b|e460a16d-676f-41ed-811f-3f23ab1450b2|f7f05821-86a1-4114-bdee-8b0894fff2f5|aa091570-f20b-4de3-b2ed-96104c99eb3a|e4509188-11df-41b5-b86d-1dde070df893|a17a864e-6bcd-4466-972a-ac7a9a909d14","2/17/2026 12:17:24 PM",""
"e915cc6c-8917-492f-f43f-08de75253b9c","e8b7aa3b-38aa-47b8-fe79-08de7446bf51","f52a8461-8066-4ff4-7081-08de7446bf5c","679d1dd4-e796-47c8-af5f-1dd9869d53f4","Geo Map","خريطة جغرافية","geomap","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly","d2b5522f-5d50-442a-ab09-94465cbe8b50|8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|a2d21933-e1fa-4290-b53a-508900974a2b|a17a864e-6bcd-4466-972a-ac7a9a909d14|d8bf4a41-432c-4b4e-bffe-ca394857ecb2|3071a33c-97a9-419f-a306-b1be05a30d5b|014096f9-2105-4b36-9777-03172f7bc0cc|c652ac7a-f5ea-4f1a-ae72-4fafb239b4d6|a6c28df3-5f65-44dc-a436-52ab448ede6b|460ac879-92c6-4d59-b91d-122fb9ae498f","2/26/2026 1:53:12 PM",""
"f50a06b6-2687-4332-170f-08de9e1b05ae","ed390c3c-ac6f-470e-7a74-08de9e09a550","160100bc-528f-4622-bc88-08de9e09a558","9c7487a3-8189-48fa-a863-f5eb27df8564","Bar Chart","مخطط شريطي","barchart","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly","8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|e39895ae-fc18-4b47-abd1-4575d7918fc4|e460a16d-676f-41ed-811f-3f23ab1450b2|f7f05821-86a1-4114-bdee-8b0894fff2f5|a17a864e-6bcd-4466-972a-ac7a9a909d14|aa091570-f20b-4de3-b2ed-96104c99eb3a|bc1bee71-6752-495b-84bc-400595c26261|e4509188-11df-41b5-b86d-1dde070df893|a2d21933-e1fa-4290-b53a-508900974a2b","4/23/2026 12:31:42 PM",""
"237cd222-4d24-45b2-1710-08de9e1b05ae","ed390c3c-ac6f-470e-7a74-08de9e09a550","160100bc-528f-4622-bc88-08de9e09a558","9c7487a3-8189-48fa-a863-f5eb27df8564","Bar Chart","مخطط شريطي","barchart","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly","f7f05821-86a1-4114-bdee-8b0894fff2f5|8e5904bd-e75e-46f6-b4bb-2ab9872a7f87|bc1bee71-6752-495b-84bc-400595c26261|e4509188-11df-41b5-b86d-1dde070df893|a17a864e-6bcd-4466-972a-ac7a9a909d14|a2d21933-e1fa-4290-b53a-508900974a2b|aa091570-f20b-4de3-b2ed-96104c99eb3a|e460a16d-676f-41ed-811f-3f23ab1450b2|e39895ae-fc18-4b47-abd1-4575d7918fc4","4/23/2026 12:31:42 PM",""
"6bf06ca3-3a25-4afd-1711-08de9e1b05ae","ed390c3c-ac6f-470e-7a74-08de9e09a550","160100bc-528f-4622-bc88-08de9e09a558","9c7487a3-8189-48fa-a863-f5eb27df8564","Bar Chart","مخطط شريطي","barchart","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","e4509188-11df-41b5-b86d-1dde070df893|bc1bee71-6752-495b-84bc-400595c26261|e39895ae-fc18-4b47-abd1-4575d7918fc4|f7f05821-86a1-4114-bdee-8b0894fff2f5|a2d21933-e1fa-4290-b53a-508900974a2b|e460a16d-676f-41ed-811f-3f23ab1450b2|aa091570-f20b-4de3-b2ed-96104c99eb3a|a17a864e-6bcd-4466-972a-ac7a9a909d14","4/23/2026 12:31:42 PM",""
