"PublishedIndicatorDashboardId","PublishedIndicatorId","DashboardId","DashboardNameEN","DashboardNameAR","SortOrder","EntityClassification","EntityClassificationName","EntityId","CreatedAt","UpdatedAt"
"890a62af-1041-4368-be75-08ddb7179f3e","f0a2e654-d78c-4d14-3e15-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","6","7","Sectors","56f68520-57a9-4bff-a680-11cc3322f780","6/29/2025 6:53:10 PM",""
"05a59f3a-a96e-42fe-be76-08ddb7179f3e","f0a2e654-d78c-4d14-3e15-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","6","7","Sectors","56f68520-57a9-4bff-a680-11cc3322f780","6/29/2025 6:53:10 PM",""
"55ac40cb-d2c5-4b7c-be83-08ddb7179f3e","64368107-c86b-4488-3e1c-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","9","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 6:58:46 PM",""
"475ffd18-6233-4dd7-be84-08ddb7179f3e","64368107-c86b-4488-3e1c-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","9","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 6:58:46 PM",""
"ecfe7dca-a672-4960-be85-08ddb7179f3e","a7eeeaa7-3a05-465c-3e1d-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","11","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 6:59:43 PM",""
"42314847-545c-4ff5-be86-08ddb7179f3e","a7eeeaa7-3a05-465c-3e1d-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","11","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 6:59:43 PM",""
"068e32c4-1efd-41b5-be87-08ddb7179f3e","2137c6dc-b410-4258-3e1e-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","14","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 7:02:37 PM",""
"bae1956d-62f3-422c-be88-08ddb7179f3e","2137c6dc-b410-4258-3e1e-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","14","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 7:02:37 PM",""
"0da09eab-6297-46c1-be93-08ddb7179f3e","dc37d928-40d5-4998-3e24-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","8","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:10:42 PM",""
"75a0a53d-58fb-4e86-be94-08ddb7179f3e","dc37d928-40d5-4998-3e24-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","8","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:10:42 PM",""
"36f6df62-b3eb-403c-be95-08ddb7179f3e","60073a09-fb63-4825-3e25-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","11","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:11:43 PM",""
"0db150d7-f7fa-4020-be96-08ddb7179f3e","60073a09-fb63-4825-3e25-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","11","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:11:43 PM",""
"28755430-c4cf-4c9b-bea1-08ddb7179f3e","f597b0c1-9e2c-4899-3e2b-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","11","7","Sectors","a0d0a555-e73a-475d-a643-d1274460d246","6/29/2025 7:20:02 PM",""
"e5b75b95-8efe-4b4f-bea2-08ddb7179f3e","f597b0c1-9e2c-4899-3e2b-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","11","7","Sectors","a0d0a555-e73a-475d-a643-d1274460d246","6/29/2025 7:20:02 PM",""
"c0ec0647-69df-45b4-becd-08ddb7179f3e","57e6f80d-27a2-43de-3e41-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","12","7","Sectors","f48b7019-ef34-4eb7-859d-2e4bde81d3c1","6/29/2025 8:27:01 PM","11/25/2025 1:41:18 PM"
"22e7d2e5-6fd7-4344-bece-08ddb7179f3e","57e6f80d-27a2-43de-3e41-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","12","7","Sectors","f48b7019-ef34-4eb7-859d-2e4bde81d3c1","6/29/2025 8:27:01 PM","11/25/2025 1:41:18 PM"
"34c587aa-66d6-4a9e-bee5-08ddb7179f3e","e2546a69-1ba8-4b1e-3e4d-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","1","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 11:09:23 PM","1/11/2026 12:33:48 PM"
"d200a73c-aad0-4e23-bee6-08ddb7179f3e","e2546a69-1ba8-4b1e-3e4d-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","1","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 11:09:23 PM","1/11/2026 12:33:48 PM"
"9c2de475-8f68-42ec-bee7-08ddb7179f3e","7ebf49ff-62db-4a91-3e4e-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","2","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 11:09:59 PM","1/11/2026 12:33:48 PM"
"609a9c96-1e24-4418-bee8-08ddb7179f3e","7ebf49ff-62db-4a91-3e4e-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","2","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 11:09:59 PM","1/11/2026 12:33:48 PM"
"c7ab018e-c468-4859-bef3-08ddb7179f3e","61db52da-e839-40a4-3e54-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","2","1","Enablers","d0b039d5-04b0-42b6-a656-c4d66d506e67","6/30/2025 10:50:31 AM",""
"9140cb21-24fb-4091-bef4-08ddb7179f3e","61db52da-e839-40a4-3e54-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","2","1","Enablers","d0b039d5-04b0-42b6-a656-c4d66d506e67","6/30/2025 10:50:31 AM",""
"0ea7b6ee-7b45-49af-bef5-08ddb7179f3e","d032d27f-d538-4da2-3e55-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","4","1","Enablers","d0b039d5-04b0-42b6-a656-c4d66d506e67","6/30/2025 10:51:15 AM",""
"c3d9d3ce-265a-4bbf-bef6-08ddb7179f3e","d032d27f-d538-4da2-3e55-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","4","1","Enablers","d0b039d5-04b0-42b6-a656-c4d66d506e67","6/30/2025 10:51:15 AM",""
"1a623ee5-a136-4e9e-bef7-08ddb7179f3e","c63a248e-8060-4845-3e56-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","5","1","Enablers","d0b039d5-04b0-42b6-a656-c4d66d506e67","6/30/2025 10:51:40 AM",""
"2d3a0612-56f2-4f82-bef8-08ddb7179f3e","c63a248e-8060-4845-3e56-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","5","1","Enablers","d0b039d5-04b0-42b6-a656-c4d66d506e67","6/30/2025 10:51:40 AM",""
"a843eae9-f272-4c24-bef9-08ddb7179f3e","61f429d1-6c47-48ec-3e57-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","1","1","Enablers","df683627-ae84-4d71-a27d-cb75e298ad8f","6/30/2025 10:55:49 AM",""
"3a0ee9d0-50f3-4874-befa-08ddb7179f3e","61f429d1-6c47-48ec-3e57-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","1","1","Enablers","df683627-ae84-4d71-a27d-cb75e298ad8f","6/30/2025 10:55:49 AM",""
"c6fd4371-e635-4e18-befb-08ddb7179f3e","71f4a5b5-baea-4789-3e58-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","1","1","Enablers","8d832af9-2cf0-4ed6-b3e6-28d51ee2d4f1","6/30/2025 11:11:48 AM",""
"7bdd7d87-3c4e-49cc-befc-08ddb7179f3e","71f4a5b5-baea-4789-3e58-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","1","1","Enablers","8d832af9-2cf0-4ed6-b3e6-28d51ee2d4f1","6/30/2025 11:11:48 AM",""
"92bb0dea-b6a0-4bd3-befd-08ddb7179f3e","4861f716-4a3f-4304-3e59-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","9","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:16:57 AM","11/25/2025 8:21:44 AM"
"e8a2ad46-97cd-4ab6-befe-08ddb7179f3e","4861f716-4a3f-4304-3e59-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","9","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:16:57 AM","11/25/2025 8:21:44 AM"
"dae80252-27da-47fa-beff-08ddb7179f3e","1a3c0f36-b514-4b19-3e5a-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","5","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:18:21 AM","11/25/2025 8:21:44 AM"
"03e60be6-33df-4ec8-bf00-08ddb7179f3e","1a3c0f36-b514-4b19-3e5a-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","5","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:18:21 AM","11/25/2025 8:21:44 AM"
"93c20e92-05f5-4de4-bf01-08ddb7179f3e","adb140b8-770f-4a34-3e5b-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","7","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:19:16 AM","11/25/2025 8:21:44 AM"
"5d859d73-0cb7-4253-bf02-08ddb7179f3e","adb140b8-770f-4a34-3e5b-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","7","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:19:16 AM","11/25/2025 8:21:44 AM"
"6ac55b9d-91b9-48ca-bf03-08ddb7179f3e","934bc0c8-5780-46b8-3e5c-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","8","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:19:49 AM","11/25/2025 8:21:44 AM"
"bdc153b2-7edc-49e3-bf04-08ddb7179f3e","934bc0c8-5780-46b8-3e5c-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","8","2","Drivers","bbc57559-fb77-4c21-80ce-ca13cf90adf6","6/30/2025 11:19:49 AM","11/25/2025 8:21:44 AM"
"9b45d2e2-7ce9-4568-bf05-08ddb7179f3e","c9bfb3a0-2d3a-4895-3e5d-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","3","4","SpecialEntities","38eb7aff-a40a-434c-b6bd-b1931041d523","6/30/2025 11:25:06 AM",""
"d74400f1-a357-4323-bf06-08ddb7179f3e","c9bfb3a0-2d3a-4895-3e5d-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","3","4","SpecialEntities","38eb7aff-a40a-434c-b6bd-b1931041d523","6/30/2025 11:25:06 AM",""
"c65f0a41-4f1b-40ac-bf07-08ddb7179f3e","c8b626a1-4f80-40ec-3e5e-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","4","4","SpecialEntities","38eb7aff-a40a-434c-b6bd-b1931041d523","6/30/2025 11:25:33 AM",""
"765a715c-4429-4ed1-bf08-08ddb7179f3e","c8b626a1-4f80-40ec-3e5e-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","4","4","SpecialEntities","38eb7aff-a40a-434c-b6bd-b1931041d523","6/30/2025 11:25:33 AM",""
"047ea7ad-6321-4c9c-bf12-08ddb7179f3e","b92b131c-8a2e-49ef-3e64-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","3","4","SpecialEntities","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","6/30/2025 1:48:32 PM",""
"3bd5858e-2d6f-47c5-bf13-08ddb7179f3e","b92b131c-8a2e-49ef-3e64-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","3","4","SpecialEntities","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","6/30/2025 1:48:32 PM",""
"c26cd549-b344-4c28-bf14-08ddb7179f3e","63073032-96e4-45fd-3e65-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","7","4","SpecialEntities","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","6/30/2025 1:50:52 PM",""
"d072d802-a2d3-4d0e-bf15-08ddb7179f3e","63073032-96e4-45fd-3e65-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","7","4","SpecialEntities","53039338-c0fc-412a-aa1c-ecd2d68b5c5b","6/30/2025 1:50:52 PM",""
"fc53cde5-48ea-45f8-bf16-08ddb7179f3e","0f4a1200-7f7b-4f67-3e66-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","1","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:53:09 PM",""
"37d46326-4897-4d46-bf17-08ddb7179f3e","0f4a1200-7f7b-4f67-3e66-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","1","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:53:09 PM",""
"f380c6a0-c94a-45cf-bf18-08ddb7179f3e","f53e6941-a46d-4142-3e67-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","3","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:53:52 PM",""
"131fad99-dc7d-4627-bf19-08ddb7179f3e","f53e6941-a46d-4142-3e67-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","3","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:53:52 PM",""
"4c611d97-2c8a-4c3c-bf1a-08ddb7179f3e","19d55db8-34f1-4697-3e68-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","4","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:54:13 PM",""
"10497744-6987-405c-bf1b-08ddb7179f3e","19d55db8-34f1-4697-3e68-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","4","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:54:13 PM",""
"2e4a06be-d2d8-490a-bf1c-08ddb7179f3e","ba86d4e8-86df-4abf-3e69-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","5","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:54:36 PM",""
"d0a65696-0599-4c0f-bf1d-08ddb7179f3e","ba86d4e8-86df-4abf-3e69-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","5","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:54:36 PM",""
"93819697-4a25-4806-bf1e-08ddb7179f3e","1c0c06df-a200-4826-3e6a-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","6","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:54:59 PM",""
"249ad2fc-d94b-4308-bf1f-08ddb7179f3e","1c0c06df-a200-4826-3e6a-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","6","4","SpecialEntities","943d0b58-e556-4eea-81ee-3e1b83a43f0c","6/30/2025 1:54:59 PM",""
"de13433e-b8ec-4f14-bf20-08ddb7179f3e","9af398b9-ca7f-4451-3e6b-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","2","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 1:57:53 PM",""
"e59fca24-12df-4ea7-bf21-08ddb7179f3e","9af398b9-ca7f-4451-3e6b-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","2","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 1:57:53 PM",""
"6f9b05d0-05ef-4eee-bf22-08ddb7179f3e","e695ef47-c754-419c-3e6c-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","6","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 2:00:58 PM",""
"2f7c768f-635c-45de-bf23-08ddb7179f3e","e695ef47-c754-419c-3e6c-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","6","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 2:00:58 PM",""
"3ab6e2e9-6e6d-48f1-bf24-08ddb7179f3e","45d63a3d-01cd-485d-3e6d-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","7","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 2:01:26 PM",""
"62b30494-c0b9-4566-bf25-08ddb7179f3e","45d63a3d-01cd-485d-3e6d-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","7","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 2:01:26 PM",""
"cb5b837e-a851-4177-bf26-08ddb7179f3e","8822f966-05c2-417f-3e6e-08ddb7179f33","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","8","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 2:01:53 PM",""
"27d9d82e-1d4e-43a2-bf27-08ddb7179f3e","8822f966-05c2-417f-3e6e-08ddb7179f33","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","8","4","SpecialEntities","e546e30f-6dfe-498e-8146-f90dc7946924","6/30/2025 2:01:53 PM",""
"5b2c13c2-e458-4f73-387a-08ddb722adc5","d2c4d177-bb12-4645-b53f-08ddb722adc3","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","10","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 6:59:15 PM",""
"017cd23c-10bc-4046-387b-08ddb722adc5","d2c4d177-bb12-4645-b53f-08ddb722adc3","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","10","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 6:59:15 PM",""
"7d66788e-8b9e-4d07-387c-08ddb722adc5","c3257c34-9cb4-41be-b540-08ddb722adc3","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","12","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 7:01:16 PM",""
"d272d4b5-cc69-49cd-387d-08ddb722adc5","c3257c34-9cb4-41be-b540-08ddb722adc3","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","12","7","Sectors","39740084-7387-4caa-886a-8bd5c71fd799","6/29/2025 7:01:16 PM",""
"36dc3674-bac1-40fb-3888-08ddb722adc5","e8dde311-7c9b-4bec-b546-08ddb722adc3","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","4","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:08:57 PM",""
"273cddab-d5ab-4dc4-3889-08ddb722adc5","e8dde311-7c9b-4bec-b546-08ddb722adc3","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","4","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:08:57 PM",""
"4a2185a1-8510-482c-388c-08ddb722adc5","54259d3e-0236-495b-b548-08ddb722adc3","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","7","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:10:22 PM",""
"c66343b9-fb32-446d-388d-08ddb722adc5","54259d3e-0236-495b-b548-08ddb722adc3","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","7","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","6/29/2025 7:10:22 PM",""
