"LookupType","Id","NameEN","NameAR","UniqueId"
"AggregationTypes","975bdfd8-8684-4f20-94da-205cc1e6f8f9","Average","متوسط","average"
"AggregationTypes","e389a8df-ca73-45c6-843a-a9624f54b150","Max","أقصى","max"
"AggregationTypes","d4fcceee-b555-4b9f-b78f-027d74f0dd16","None","لا شيء","none"
"AggregationTypes","7cf442e4-1792-4837-a26c-2b99be6cb3e3","Sum","مجموع","sum"
"ChartTypes","fd291b9d-6762-4fc1-a89a-8307957016ec","Area Chart","مخطط مساحي","areachart"
"ChartTypes","9c7487a3-8189-48fa-a863-f5eb27df8564","Bar Chart","مخطط شريطي","barchart"
"ChartTypes","4bd8cfa1-feb7-4f6d-aad8-ca53037733a0","Box Whisker Plot","مربع الشارب","boxwhisker"
"ChartTypes","174254d5-acd8-4677-b6f6-448201118c79","Bump Chart","مخطط الارتطام","bumpchart"
"ChartTypes","be2aa87c-e0de-41bd-b82f-5459a5bbf299","Donut","مخطط الدونات","donut"
"ChartTypes","679d1dd4-e796-47c8-af5f-1dd9869d53f4","Geo Map","خريطة جغرافية","geomap"
"ChartTypes","62324f97-c3f9-4051-8f07-96f9ea8da7cb","Heat Map","خريطة شجرية","heatmap"
"ChartTypes","714b19fa-3d2f-4eea-87b0-473cd1e19679","Line Chart With Bar","مخطط خطي مع شريط","linechartwithbar"
"ChartTypes","c76256f2-84bd-4623-ac2e-1e32e7d02852","Line Plot","مخطط خطي","lineplote-charts"
"ChartTypes","c5531212-37f7-4663-a745-dfe2ec593b22","Pie Chart","مخطط دائري","piechart"
"ChartTypes","7550afcb-2599-40c3-8a4e-4e842035d892","Radar Plot","مخطط راداري","radarplot"
"ChartTypes","d2b8d060-bfc8-4047-a8ff-7f7659fb8d7c","Radial Matrix","مصفوفة شعاعية","radialmatrix"
"ChartTypes","8effb53f-3e07-4047-aa2d-547ac2e90bb6","Sankey Diagram","سانكي","sankey"
"ChartTypes","39d6dc9a-44ac-45cf-9ff0-e6e9f34475b0","Scatter Plot","مخطط مبعثر","scatterplot"
"ChartTypes","d61c10c5-f245-40e4-84be-3eb44d135f18","Stacked Area","منطقة مكدسة","stackedarea"
"ChartTypes","cdc4bef8-b64b-47c9-97f3-ab2b12b3c191","Stacked Bar","خط مكدس","stackedbar"
"ChartTypes","9edbd15b-443e-4199-ab03-c71bb7ddeda0","Stacked Bar with line","شريط مكدس مع خط","stackedbarwithline"
"ChartTypes","8db9e585-32d4-4e38-b23b-efae8fd95271","Stacked Line","خط مكدس","stackedline"
"ChartTypes","c55ee2cb-a6ff-439c-82cf-6575830b2470","Table ","طاولة","table "
"DataSources","cac88169-666e-48fe-89ea-4405bfc65c63","Awaiting the development and issuance of this data by the National Planning Council","بانتظار إعداد وإصدار هذه البيانات من قبل المجلس الوطني للتخطيط",""
"DataSources","ea8fd65d-c397-4ba5-a423-c9d06476b925","Bloomberg Terminal","منصة بلومبيرغ",""
"DataSources","755833c9-5d4e-41be-9872-f54b66b6a075","Brasília","برازيليا",""
"DataSources","d8ae597a-c31d-4ff6-9ea3-9fd9fe40cdb5","Comtrade","كومتريد","comt"
"DataSources","2c7c6b76-08d4-4c16-8335-eb9d788352cc","Economist Impact","إيكونيميست إمباكت","ei"
"DataSources","82a88e10-6833-4ba4-bb85-7a4cd2759f4e","Fitch Rating","موديز، ستاندرد آند بورز، فيتش","fr"
"DataSources","a0b22687-3eee-444e-99e1-fb145ee190da","General Authority of Customs","الهيئة العامة للجمارك",""
"DataSources","9bf79963-9e22-470c-89b0-540a1eea65ac","Global Financial Centers Index","مؤشر المراكز المالية العالمية","gfci"
"DataSources","7ee53b89-bb5a-40f8-93e3-b36b1476e921","Harvard Growth Lab","مختبر النمو في جامعة هارفارد","hgl"
"DataSources","a04cf0bf-fece-46c0-aa7d-0ad1e7618a8d","Haver Analytics","هافر أناليتكس","haver"
"DataSources","51a23321-4a52-4b3e-b1f6-85d1073e3ae0","International Air Transport Association (IATA)","الاتحاد الدولي للنقل الجوي","iata"
"DataSources","1950fc0f-1d7c-42ea-b990-5263ebfcc89b","International Institute For Management Development (IMD)","المعهد الدولي للتنمية الإدارية","imd"
"DataSources","f1ddbcf5-b142-406a-9f50-f7663f044e8d","International Monetary Fund","صندوق النقد الدولي",""
"DataSources","e6bd4d6b-d35d-4e71-a1e9-d76a78caa099","International Telecommunication Union","الاتحاد الدولي للاتصالات","itu"
"DataSources","921a7ad5-08a1-4939-abee-8d1a2d96cb9d","Invest Qatar","استثمر في قطر",""
"DataSources","fa20ce3a-fc95-470c-983e-86d3e250a2fb","Investment Promotions Agency","وكالة ترويج الاستثمار",""
"DataSources","585e5dfa-0200-4268-9f10-205f19fe5bbd","IPAQ","إيباق",""
"DataSources","f953092c-d58a-444a-9a42-a3c697c2d6ea","Ministry Of Commerce And Industry","وزارة التجارة والصناعة","moci"
"DataSources","1f190b52-3bbd-43fc-a2b0-0ca18d6ba931","Ministry of Communications (TASMU)","وزارة الاتصالات (تسمو)",""
"DataSources","0be7cb31-3121-4ca0-a0bc-bd2425fc643f","Ministry Of Education And Higher Education","وزارة التربية والتعليم العالي","mehe"
"DataSources","f8085557-7c8d-4956-dbe8-08deed5e6b7b","Ministry of Environment and Climate Change","وزارة البيئة والتغير المناخي","ministryofenvironmentandclimatechange"
"DataSources","b415883c-04c1-427f-828b-671b4587c8ac","Ministry Of Finance","وزارة المالية","mof"
"DataSources","fedb73d5-4429-4c73-8755-f791785532bc","Ministry of Justice","وزارة العدل",""
"DataSources","f2dad1ed-1827-454e-9033-215230a52707","Ministry Of Municipality","وزارة البلدية","mom"
"DataSources","6f741451-7d19-480b-9493-3653cb304a23","Ministry Of Public Health","وزارة الصحة العامة","moph"
"DataSources","53110e26-68d4-4ee3-812b-d13cf50b0b67","Moody's Rating","موديز، ستاندرد آند بورز، فيتش","mr"
"DataSources","aecb4597-884d-4c4b-a120-ff0933e39ca9","Morgan Stanley Capital International","مورغان ستانلي كابيتال إنترناشيونال (MSCI)","msci"
"DataSources","3768bdfc-8290-4057-b4d3-46ac5a754688","Mwani","مواني قطر","mwani"
"DataSources","603b0af1-70bf-4257-8f57-4861e33ae17c","National Planning Council","المجلس الوطني للتخطيط","npc"
"DataSources","06759985-83a7-4dd5-a16b-f96fa89518c1","Numbeo","نومبيو",""
"DataSources","c90452f0-b141-48ed-aa46-044ec3eafe65","Organisation For Economic Co-operation And Development","منظمة التعاون والتنمية الاقتصادية","oecd"
"DataSources","d0922f3d-93da-4114-fc09-08deb4ad7bae","Oxford Economics","أكسفورد إيكونومكس","oxfordeconomics"
"DataSources","e5f13209-0ccd-4855-a352-c3fccb0ebc09","Portulans Institute","معهد بورتولانس","pi"
