"Id","NameEN","NameAR","UniqueId","IntervalId","IntervalEN","IntervalAR","IntervalCode","UnitId","UnitEN","UnitAR","UnitCode"
"7ec8402a-0673-4417-b935-502ff2145f10","Monthly MoM %","التغير الشهري على أساس شهري (%)","mom","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly","","","",""
"4ffffaf2-8058-41f2-8ff8-2e0160c4696b","Monthly MoM pp","التغير الشهري على أساس شهري (نقطة مئوية)","mompp","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly","","","",""
"7ecedd34-9a38-41e6-b78e-3c4bd52debd6","Monthly YoY %","التغير السنوي على أساس شهري (%)","yoy","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly","","","",""
"4d009fc3-b909-40b9-9e2b-a53422837085","Monthly YoY pp","التغير السنوي على أساس شهري (نقطة مئوية)","yoypp","1335f666-ffcf-4c78-ad27-88a092f2f4ae","Monthly","شهري","monthly","","","",""
"1a030a2f-9580-4f77-8a14-0abfc76e4608","Quarterly QoQ %","التغير ربع السنوي على أساس ربعي (%)","qoq","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","","","",""
"64528862-35bc-44d7-b4dc-8d8c1cdff3be","Quarterly QoQ pp","التغير ربع السنوي على أساس ربعي (نقطة مئوية)","qoqpp","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","","","",""
"895ad713-de16-4568-9d8c-55a45a43cf36","Quarterly YoY %","التغير السنوي على أساس ربع سنوي (%)","yoy","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","","","",""
"936fefe4-aa57-4b40-8f68-995afbdae714","Quarterly YoY pp","التغير السنوي على أساس ربع سنوي (نقطة مئوية)","yoypp","718b556d-df7a-4f71-88d5-92e506941170","Quarterly","ربع سنوي","quarterly","","","",""
"43a29e53-13df-477e-b993-de5a423dab99","Yearly YoY %","التغير السنوي على أساس سنوي (%)","yoy","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","","","",""
"6ddcae37-696b-4346-bfe9-4404f72f63f4","Yearly YoY pp","التغير السنوي على أساس سنوي (نقطة مئوية)","yoypp","691e1981-365a-4b79-b81d-de3b2f8c05c7","Yearly","سنوي","yearly","","","",""
