"BaseIndicatorDetailId","BaseIndicatorId","IsMain","DwhIndicatorName","UpdatedAt"
"93db8d28-13c9-406f-9fb3-02ba8dfedb7a","f834d328-e379-4221-a9ec-2620875ac997","False","","5/24/2026 10:59:45 AM"
"70c628f9-0107-4dc1-9d82-0326a7c47d34","9439d25c-e03c-4587-882f-b2d4255602c6","True","","3/4/2023 10:05:24 AM"
"aa18fa30-3755-4086-a0ea-04265d2633c9","763a8c21-54b8-4fae-fc29-08dd8f984037","True","","8/2/2026 9:46:42 AM"
"3d85d6ee-df7c-4102-a875-04cfb3eb72ad","e7d27610-ec54-4087-fd41-08dd8ca66f9c","True","Sector Contribution To GDP (ICT)","6/8/2026 12:39:24 PM"
"4c6883e2-ebbf-4ca8-9ed5-06265c43a210","b38962c9-acda-4bd3-9bb9-b51e3365d6d0","True","","10/14/2025 12:47:00 PM"
"36dc53d5-6a00-4509-8958-0645333d8e88","9f1b0ba8-2225-4f3e-973f-a5cf045627a9","False","","5/24/2026 10:51:34 AM"
"ac02d9fa-ebc8-4462-a45c-07e8a37b05fb","e7b61ac2-ebf2-4ac2-ace9-832381a4faba","True","","3/4/2023 10:06:21 AM"
"d1f39148-6345-4231-889a-081733ff4223","7d9d6893-173f-41a1-b230-92a448c02c8f","True","","3/6/2023 4:06:58 AM"
"2ec9f97d-5c61-42b2-72d5-08dd8c9ae75d","d7768ce6-7e13-4213-1886-08dd8c9ac2e7","True","Total Production","6/7/2026 10:03:15 AM"
"dbbf6296-454a-4709-f49c-08dd8c9b779d","bf24acec-dc99-4bfe-91b2-08dd8c9b1913","True","Gross National Income (GNI)","7/26/2026 1:58:49 PM"
"89e4b51e-2864-4a8f-f4a3-08dd8c9b779d","f22dbb3c-c542-47d3-91b6-08dd8c9b1913","True","Global Food Security Index (GFSI) Rank","6/2/2026 1:25:14 PM"
"af28efd4-addd-4298-f4a4-08dd8c9b779d","c0ea29f9-c2b5-48c7-1885-08dd8c9ac2e7","True","Crop Yield  - Vegetables, Greenhouses","6/7/2026 9:56:04 AM"
"77dfcbc9-0f65-4ad3-f4ed-08dd8ca67e32","60be3657-a99d-4dc0-b655-08dd8ca641ed","True","Out-of-Pocket Expenditure as a Percentage of Current Health Expenditure","8/3/2026 8:25:05 AM"
"fae02c26-3bd0-400a-f4ef-08dd8ca67e32","9bfcfd0f-206c-4a81-b656-08dd8ca641ed","True","Pharmaceuticals, Medical Devices and Consumables Produced in Qatar","8/4/2026 1:04:34 PM"
"5e1c498e-b7b4-4f9c-f4f1-08dd8ca67e32","bc0144bd-8228-4022-fd42-08dd8ca66f9c","True","Network Readiness Index (NRI) Rank","7/5/2026 12:13:35 PM"
"feb47735-62a9-40bf-f4f2-08dd8ca67e32","82cb353f-7635-44e6-fd43-08dd8ca66f9c","True","Global Cybersecurity Index (GCI) Score","7/5/2026 12:12:19 PM"
"29a9a9da-7d32-46e7-f4f3-08dd8ca67e32","82cb353f-7635-44e6-fd43-08dd8ca66f9c","False","Global Cybersecurity Index (GCI) Rank","7/5/2026 12:12:24 PM"
"a88e43ef-4ab9-4b32-f4f4-08dd8ca67e32","6a83aeab-2024-4293-b659-08dd8ca641ed","True","Percentage of Online, End-to-End Public Services","8/17/2025 11:18:54 AM"
"2c5bee26-dd97-427d-f4f5-08dd8ca67e32","1133a92c-b7aa-4d1c-b65c-08dd8ca641ed","True","Logistics Performance Index (LPI) Rank","10/8/2025 10:58:05 AM"
"1ea420cb-1f13-49c4-f4f6-08dd8ca67e32","55d5cfff-5e3e-436a-fd45-08dd8ca66f9c","True","Number of Jobs in the sector","7/2/2026 11:43:49 AM"
"e2ed493e-468e-43ae-f4f7-08dd8ca67e32","9c08e6c8-ebc7-4304-b65d-08dd8ca641ed","True","Air Transport Freight","4/20/2026 12:11:31 PM"
"1ae763f5-54fa-43b1-f4f8-08dd8ca67e32","70b9828b-9a49-4b1b-fd47-08dd8ca66f9c","True","Goods Re-export","7/2/2026 11:57:38 AM"
"f7773f3b-70d1-4d11-f4fa-08dd8ca67e32","64eec0a9-2740-4bb2-b661-08dd8ca641ed","True","Number of Non-Qatari Jobs","7/7/2025 10:53:12 PM"
"1b3ad7ca-fb44-46d6-f4fd-08dd8ca67e32","0cc207f1-3665-47fa-fd4b-08dd8ca66f9c","True","World Competitiveness Ranking","6/28/2026 10:27:15 AM"
"42de99b1-ee11-4b9f-f4fe-08dd8ca67e32","cc51126f-9f21-42d1-fd4c-08dd8ca66f9c","True","Economic Complexity Index Rank","5/3/2026 9:40:10 AM"
"fe8b6a72-ce0d-4de1-f502-08dd8ca67e32","ab61b22e-a292-40d4-fd54-08dd8ca66f9c","True","","10/14/2025 12:04:49 PM"
"c06a51aa-446e-4f36-dc1c-08dd8ca6e776","533daac2-2e84-4f4d-fd3e-08dd8ca66f9c","True","Private Expenditure on Health as a Percentage of Total Current Health Expenditure","8/3/2026 8:23:31 AM"
"934558b2-4119-4787-dc1e-08dd8ca6e776","0deac0f6-d36f-46b9-b658-08dd8ca641ed","True","Sector Exports (ICT)","8/20/2025 7:57:11 AM"
"3f39dd1b-d75b-43c3-dc22-08dd8ca6e776","02f24f7f-aef9-4146-b65f-08dd8ca641ed","True","IATA Connectivity Index","10/6/2025 9:20:28 AM"
"9c076019-93da-4d84-dc23-08dd8ca6e776","7e1bc17b-15b9-43b3-b660-08dd8ca641ed","True","Number of Qatari Jobs","8/10/2026 11:33:48 AM"
"c566b959-10e5-4d8c-dc25-08dd8ca6e776","758f6b56-dec6-46d5-fd49-08dd8ca66f9c","True","Qataris Employed in Private Sector as Share of Total Qataris Employed","5/20/2026 10:37:28 AM"
"0be53476-d5c0-4bdd-dc26-08dd8ca6e776","86453f7b-aa2a-4832-b663-08dd8ca641ed","True","Workforce (Economically Active) - High Skilled Blue Collar","5/20/2026 1:18:57 PM"
"1d2d8d03-cc9e-4b15-dc27-08dd8ca6e776","86453f7b-aa2a-4832-b663-08dd8ca641ed","False","Workforce (Economically Active) - High Skilled White Collar","5/20/2026 1:18:57 PM"
"0fd612cb-b027-4716-dc28-08dd8ca6e776","86453f7b-aa2a-4832-b663-08dd8ca641ed","False","Workforce (Economically Active) - Low Skilled Blue Collar","5/20/2026 1:18:57 PM"
"5d44d596-1d70-4237-dc29-08dd8ca6e776","86453f7b-aa2a-4832-b663-08dd8ca641ed","False","Workforce (Economically Active) - Low Skilled White Collar","5/20/2026 1:18:57 PM"
"6e566915-9427-4427-3fa8-08dd8f9441f4","47ddf8d8-71d4-4f57-4a6f-08dd8f83b962","True","","8/3/2026 8:32:32 AM"
"c3839297-487c-4737-3fa9-08dd8f9441f4","47ddf8d8-71d4-4f57-4a6f-08dd8f83b962","False","","8/3/2026 8:32:32 AM"
"45740834-bc0f-405b-3faa-08dd8f9441f4","47ddf8d8-71d4-4f57-4a6f-08dd8f83b962","False","","8/3/2026 8:32:32 AM"
"b65d3ee2-cd29-49ae-3fab-08dd8f9441f4","7402f9d2-0a2d-4ca5-fc27-08dd8f984037","True","","6/22/2026 10:43:57 AM"
"a227940d-a306-4044-ebc4-08ddf99d46f8","37c65254-6ebb-4e9e-b3e8-08ddf993df51","True","","10/6/2025 9:02:11 AM"
"febcd603-00b4-4779-b051-096dba30cba1","4fe7e09d-e927-4b91-9e7e-fdd0c8b11c18","True","","11/25/2025 1:38:33 PM"
"cdc59156-4680-4191-a18a-0a0fa5cf78b4","3fda10c5-4272-4db4-9026-9210a9d7a220","True","","3/6/2023 3:29:53 AM"
"4d048509-0a57-49ca-a7f4-0a723e402b01","61cd97c1-aa02-472b-bb04-08de0ba11ad8","False","","7/23/2026 8:48:14 AM"
"c8c30830-c2b8-4dcb-8156-0ceaa4b7c310","f40c099b-fe38-4c0c-ab6b-6f482504ba41","False","","5/21/2026 4:12:45 PM"
"3fe5592c-1151-450f-a32e-0d153c3ea0e4","f834d328-e379-4221-a9ec-2620875ac997","False","","5/24/2026 10:59:45 AM"
"d74e21f3-257c-4ccf-bd66-0f80cfb45220","b8850afa-e4f2-49e8-b8dd-0fc999546ee9","False","","6/23/2026 10:16:13 AM"
"95cde7f3-dda0-4c7e-90b9-0ff557831ae8","1ce28a27-bc22-428e-81c9-5153545dfbb2","True","","5/5/2025 1:34:47 PM"
"e6f06010-3c0e-4f9a-8f34-1142c8282eec","61cd97c1-aa02-472b-bb04-08de0ba11ad8","False","","7/23/2026 8:48:15 AM"
"5161dca8-65fd-47d5-b80a-1179b4576399","46f92d91-00e9-450b-8a7d-a55c68cfaf52","True","","3/6/2023 4:06:48 AM"
"9759d2e3-0352-4f93-b8f3-13f5ef15f710","ed3fff4e-a640-48d8-90d8-eac6a620ffd6","True","","3/19/2025 10:19:22 AM"
"421a84fd-9cf0-47bc-96ae-147be557650c","50df01f3-d291-4a94-bd6f-8087df24aa8a","True","","7/28/2026 10:11:34 AM"
"6388eb3c-6665-41ef-90a9-1739af3f307d","748bc532-9218-4ed2-bb05-08de0ba11ad8","False","","2/8/2026 10:49:50 AM"
"082dd445-5662-4931-8631-17547c4d3d80","eae5aa30-a5e6-4d0c-8d1a-341554b4bd64","True","","7/5/2026 11:43:34 AM"
"5a3f629f-f0aa-4b48-b53d-17b4f6d18342","a29f2b95-2ed0-4832-bc3e-9bcf5692a18d","True","","3/6/2023 3:28:17 AM"
"9ae0170b-9ad1-4530-82a5-1993d1235aa9","4e923d8d-220e-4f8a-afb8-b073c9f6fb67","True","","6/25/2026 12:02:07 PM"
"688ca92c-03f7-46a6-b185-1a51d3ccc3c7","9220070d-11ed-44bf-a68f-ccda8cc7f780","True","","7/29/2026 1:54:51 PM"
"6de16238-0dc0-453c-8099-1a7094d9ce84","f4a555df-92c1-417f-89b6-557d9cb7cfd0","True","","3/6/2023 3:28:08 AM"
"0fded7d6-5461-4266-a7c5-1afbeb561142","748bc532-9218-4ed2-bb05-08de0ba11ad8","True","","2/8/2026 10:49:50 AM"
"256d27b9-00d4-4b31-a430-1d893690a3d9","63eaf2c5-952e-4eca-9b1d-aea65c65e92e","True","","8/5/2024 6:05:54 AM"
"0a922ab8-e890-408b-8f9d-1dd732a5047b","61cd97c1-aa02-472b-bb04-08de0ba11ad8","False","","7/23/2026 8:48:14 AM"
"f3d4829d-6ba7-4197-a514-1e3f67508412","748bc532-9218-4ed2-bb05-08de0ba11ad8","False","","2/8/2026 10:49:50 AM"
"da33cde5-8b69-46cf-be37-1e932618ada8","293496ae-5d13-4139-83a1-4d833396793b","True","","6/15/2026 11:52:17 AM"
"bbfb2960-e6e5-434b-8bde-1eb38b111d26","9940aaee-42c1-4e00-ad2f-f04e2607cc35","True","","10/14/2025 12:30:30 PM"
"6363cd50-dddf-4be5-960c-1f6348245281","0dc2cdd8-6ce8-4d56-8749-c8c645810616","True","","3/6/2023 4:51:17 PM"
"3012b24f-db07-4218-b701-208890589363","9f1b0ba8-2225-4f3e-973f-a5cf045627a9","True","","5/24/2026 10:51:34 AM"
"2a3c6334-4107-4bec-8dab-229cb0be7772","f834d328-e379-4221-a9ec-2620875ac997","False","","5/24/2026 10:59:44 AM"
"1b83941b-03bb-4d4f-8ccb-238c37092a1f","7b2a03fc-c511-4c11-b6aa-bd77ce3b4ea2","False","","5/24/2026 10:56:22 AM"
"b2eb3095-34fa-4a26-b924-23d9b3b65ded","55f354bd-3861-430c-b907-250224a1d995","True","","6/23/2026 9:48:43 AM"
"035f5056-9030-4f34-b49d-24c018afe8b0","b986244e-f9b6-4e22-ab4b-b13601493b7b","True","","10/14/2025 12:50:32 PM"
"bf09099b-364e-4ca9-bd38-253580268da9","80806c6e-efe6-4ec6-90b6-38d3fb904a7e","True","","6/7/2026 10:48:05 AM"
"2e69c157-b5ae-4e64-8ae3-254a74b98033","748bc532-9218-4ed2-bb05-08de0ba11ad8","False","","2/8/2026 10:49:50 AM"
"2aecae85-7518-4393-8686-25ab543a60d0","7c3ab28c-a066-47a5-914b-26861ea54161","False","","5/24/2026 11:25:15 AM"
"2a8d888f-1ad6-47f6-bf72-260e10c0c29a","9fa7d4bf-61ac-49a3-fd53-08dd8ca66f9c","True","Cost of Living - Housing and Utilities","5/24/2026 1:56:22 PM"
"88b24096-0c6c-4ff2-8933-267ba912c52a","b8850afa-e4f2-49e8-b8dd-0fc999546ee9","True","","6/23/2026 10:16:13 AM"
"00a6a691-1295-4221-ab04-26fed2951cc6","b596bac5-0dc8-4dec-91b1-08dd8c9b1913","True","Trade Balance","7/26/2026 1:52:05 PM"
"bad70983-9d6a-4bc6-9fe8-27c001cc8c35","7b2a03fc-c511-4c11-b6aa-bd77ce3b4ea2","False","","5/24/2026 10:56:22 AM"
"925c1174-6bac-4d85-9812-28bdf943635f","93032528-4506-4bf2-b118-1bab8728ce09","True","","5/31/2026 11:37:10 AM"
"332ec482-464c-4ee6-9786-2973e258c35e","d803eada-56b2-48a4-b65e-08dd8ca641ed","True","Liner Shipping Connectivity Index Score (out of 100)","5/7/2026 8:16:06 AM"
"b2913365-07e2-46cb-9b46-2978911e5950","442c7b35-1587-4400-96a1-f8037107ab00","True","","9/7/2023 4:37:12 AM"
"38c8f46d-261e-4d64-bc36-2a3144141478","13262750-1a55-4af5-8b27-76570645d786","True","","6/28/2026 7:47:53 AM"
"07015657-de39-4f52-a655-2b2fb17f13b1","a556ef9d-4795-4695-b2d3-25142a6a5fe4","True","","6/7/2026 10:49:59 AM"
"597173ce-53ad-4461-9c6f-2c1724ccb95d","1c46d5ad-0c16-4f63-fd3c-08dd8ca66f9c","True","Non-Hydrocarbon Exports (share of total exports)","5/14/2026 8:57:30 AM"
"3098d37b-dea8-43fd-9fe4-2dad1b522894","294e812b-d86a-4b70-9246-c94f1c433d25","True","","3/5/2023 3:05:04 PM"
"62a4b61b-5893-4dfa-b489-2dc02c418565","b00e50d8-c84d-46ab-acbb-680cccb79980","True","","10/14/2025 11:57:31 AM"
"604ea855-8ecb-43c9-b59a-2e138d386bed","e7f7820a-fa7c-47ba-91b0-08dd8c9b1913","False","Government Revenues - Non-Hydrocarbon","7/26/2026 1:17:12 PM"
"70756ba8-2306-40c8-a931-2f8b03c8545c","12a08667-7e80-45dd-870b-bda55ed79c7a","True","","7/21/2026 8:04:43 AM"
"3cb78938-1044-4e33-818c-3030218f3291","9f1b0ba8-2225-4f3e-973f-a5cf045627a9","False","","5/24/2026 10:51:34 AM"
"a787f64f-4dc1-4c03-ba56-3212a81c5525","b7423a5a-03cc-43e2-a035-57ab9a8c95a8","True","","7/6/2026 10:16:48 AM"
"b47d27b2-94ed-42fd-8fe4-3295388ce64f","c9d04624-898e-4c37-a41e-d12cdb8e1e6c","True","","5/6/2026 11:00:42 AM"
"a12d424f-aa04-48c9-9437-32bcf048b702","748bc532-9218-4ed2-bb05-08de0ba11ad8","False","","2/8/2026 10:49:50 AM"
"c03416c4-0833-4a21-a1bc-349a29846756","18f1ee7f-8a9a-4523-9dcb-a8e4755a5b93","False","","5/24/2026 11:07:46 AM"
"93e3cd75-869b-47a2-9574-34d1fdd68ad5","18f1ee7f-8a9a-4523-9dcb-a8e4755a5b93","False","","5/24/2026 11:07:46 AM"
"02433173-aa8e-4cf3-8dae-35dab4e944a3","2f65daa5-6a30-45aa-bfe8-df7eb9a176ef","True","","4/5/2026 9:18:40 AM"
"3560dca4-c2ec-418c-8412-36b03a68f52b","08c3ddaf-5a58-4e94-8fcb-be81e945b2ce","False","","5/24/2026 11:01:31 AM"
"da78f8dd-30e5-4fee-a14f-390b39238f1e","b702a135-ef05-4f35-bacf-c59380d5d28e","True","","6/7/2026 10:51:27 AM"
"c0fcca9b-a3c7-48ca-83c4-3ae28007538e","6a94bf79-5225-4696-ac38-6c9fd1736fd0","True","","3/16/2024 1:54:42 PM"
"84bfc386-e94f-49df-b8b0-3aef32208df1","f40c099b-fe38-4c0c-ab6b-6f482504ba41","False","","5/21/2026 4:12:44 PM"
"8f24964c-80f7-4fdf-bf7a-3bda75175867","5aa26781-72fa-4b93-98a8-50354363663e","True","","10/16/2024 8:00:23 AM"
"a5ce032f-7153-43d6-9d06-3c8a4cf3c52f","bafacc7e-f737-476e-b6ba-fd40d28b5b2c","True","","8/3/2026 8:29:30 AM"
"aac166b8-ee0a-4a9c-9c0f-3d4cd9a22479","eb8cf7d4-9457-4481-91b9-98f568113a19","True","","6/21/2025 8:39:18 AM"
"f5f68053-cc03-4fab-bec4-3e0d807beaab","af11d76e-333e-4dcd-8f24-cd7ff1df78b2","True","","10/16/2024 9:21:23 AM"
"b1c2576b-a03d-4016-996c-3eee522f1198","61cd97c1-aa02-472b-bb04-08de0ba11ad8","False","","7/23/2026 8:48:14 AM"
"b38a19d1-0cc6-4630-8cc6-3f127764d695","8be3e6c5-7a69-45f4-91b3-08dd8c9b1913","False","Exports - Non-Hydrocarbon","7/26/2026 1:37:46 PM"
"ef50cf0a-caf5-411a-baf1-3f9ee3bae025","2284fbad-01fb-41c2-af72-d00086788e4b","True","","3/6/2023 3:29:40 AM"
"5bec9e6f-7427-4527-a519-3fdab55e96c7","9229663a-6caa-480d-876b-66b1f05549af","True","","6/23/2026 9:56:29 AM"
"a3dfe88c-7609-44f5-b043-411f246e1809","d5b90910-0224-4d72-9a42-77664d400101","False","","6/23/2026 9:15:58 AM"
"46cb8859-5cd3-41e7-ba7c-426b9b0da0b2","8e377da9-3583-4044-abb1-10c975691c51","True","","7/28/2025 10:21:31 AM"
"d12acce8-af93-4e03-9a2c-447f46f81aa7","db61b0e2-9e23-40b4-81e6-4a6e4d2ccb3d","True","","10/14/2025 3:56:00 PM"
"4a975801-a78a-4056-a039-44f10c1378a6","d7fff5f3-82f2-42a6-a1ed-25930f34329d","True","","3/6/2023 4:07:35 AM"
"f8c0cc58-5b85-41ea-b890-4607650edf49","7b2a03fc-c511-4c11-b6aa-bd77ce3b4ea2","True","","5/24/2026 10:56:21 AM"
"ff26e752-8028-4eaa-a210-4658e7533f3a","7b2a03fc-c511-4c11-b6aa-bd77ce3b4ea2","False","","5/24/2026 10:56:22 AM"
"9aaf0fd7-ab3e-4f7f-b966-4767733d0024","8be3e6c5-7a69-45f4-91b3-08dd8c9b1913","True","Exports","7/26/2026 1:37:45 PM"
"506abde5-1d36-47a3-bf29-47ad0c202157","dce52566-4595-40f2-b329-884d612aff57","True","","7/22/2026 12:54:01 PM"
"3c597ac2-c1cf-4e15-85d2-47b388aef88a","f839de6c-8c92-40f6-a887-7edb63732039","True","","5/25/2023 10:09:48 AM"
"a67ebc0c-9099-4be7-b956-48880cfd8c28","748bc532-9218-4ed2-bb05-08de0ba11ad8","False","","2/8/2026 10:49:51 AM"
"e73de9a8-9887-4fd9-9ace-4a3812c4acc9","e7f7820a-fa7c-47ba-91b0-08dd8c9b1913","False","Government Revenues - Hydrocarbon","7/26/2026 1:17:11 PM"
"6483ef13-f984-4866-bdac-4a6329c65a8c","2f882e4c-effe-4266-8368-cc1ea95a4acb","True","","5/5/2025 1:34:54 PM"
"1706dd14-f71f-4995-bf8c-4b83c9656701","f834d328-e379-4221-a9ec-2620875ac997","False","","5/24/2026 10:59:46 AM"
"6f1bc5e6-3bd7-4bae-9cfd-4b9660af2b3c","8c2e44f0-93cd-48f4-9a4f-147bd1c540d0","True","","6/15/2026 11:51:34 AM"
"6f0ed775-6eb2-43f8-8c9a-4bf1fdfe1578","5a01bc5f-4346-45d1-9b5b-9ea53fbde92c","True","","3/6/2023 5:04:50 PM"
"51224862-8d71-4a69-a72f-4ca141a622fa","fa99fe1b-67ff-4d0b-bf71-0d26577d96a2","True","","7/20/2026 12:31:48 PM"
"71150473-dc67-4e35-86a8-4cc30f15dd8b","55f354bd-3861-430c-b907-250224a1d995","False","","6/23/2026 9:48:44 AM"
